iso3,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total,area
SGP,222,Singapore,State,air_pollution_pm25_1998-2023,585415.9997587457,870627.8539160412,5795190.409203142,747.9141749864709
VUT,277,Vanuatu,State,air_pollution_pm25_1998-2023,59802.38785850696,142171.5434806893,280152.915540792,12269.734845259614
FJI,276,Fiji,State,air_pollution_pm25_1998-2023,190016.6859719592,295252.6335831447,879196.7793796825,18865.96852642295
STP,214,Sao Tome and Principe,State,air_pollution_pm25_1998-2023,20577.195590121144,104882.39297816402,216425.21663955483,999.9585201304658
NRU,173,Nauru,State,air_pollution_pm25_1998-2023,0.0,5079.364073097959,8654.73962886754,21.6918449842264
SLB,225,Solomon Islands,State,air_pollution_pm25_1998-2023,205209.5614370704,347161.46580266824,698704.4064826433,28281.265013409316
AFG,1,Afghanistan,State,air_pollution_pm25_1998-2023,20937690.90259755,20939927.496658742,42006990.539788574,642025.9078794909
AGO,8,Angola,State,air_pollution_pm25_1998-2023,18705698.292859256,18709836.92314364,36705526.6430082,1251863.563263454
ALB,3,Albania,State,air_pollution_pm25_1998-2023,572210.523536456,574038.0505175642,2785087.9997727955,28628.314263722616
SYC,220,Seychelles,State,air_pollution_pm25_1998-2023,1225.6275556418664,30312.675349960988,109848.01660768127,501.426576015133
AND,7,Andorra,State,air_pollution_pm25_1998-2023,12304.924942536496,12304.924942536496,81418.74147483188,463.6885378136676
ARE,255,United Arab Emirates,State,air_pollution_pm25_1998-2023,1927119.4321387275,2031447.7012183263,10654430.703493768,71277.59134875023
ARM,13,Armenia,State,air_pollution_pm25_1998-2023,677214.0219663584,692305.7649314527,2985307.448081244,29681.54773318905
AUT,18,Austria,State,air_pollution_pm25_1998-2023,1561920.6275162469,1562150.013531782,9130600.381000314,83700.17994265241
AZE,19,Azerbaijan,State,air_pollution_pm25_1998-2023,2457267.344921547,2747050.551596869,10305347.07231456,164178.97014582678
BDI,43,Burundi,State,air_pollution_pm25_1998-2023,7244592.5428733565,7250336.507113608,13877839.51055262,26963.24985419607
BEL,27,Belgium,State,air_pollution_pm25_1998-2023,2300200.967760968,2300200.967760968,11730335.285806254,30553.047616360323
BEN,29,Benin,State,air_pollution_pm25_1998-2023,6741623.204979934,6896624.155167938,14286070.048997458,115732.47742187616
BFA,42,Burkina Faso,State,air_pollution_pm25_1998-2023,11451401.233279295,11453005.340204278,23295774.938637994,274290.34740471427
BGD,23,Bangladesh,State,air_pollution_pm25_1998-2023,57724604.88068532,58945359.854905605,172282053.34904954,140022.5530244271
BGR,41,Bulgaria,State,air_pollution_pm25_1998-2023,1112932.337367731,1180648.3503514074,6741985.340096511,110889.0805535334
AUS,17,Australia,State,air_pollution_pm25_1998-2023,3866700.282633188,5528342.125710133,25513814.518884607,7702017.710132445
BIH,34,Bosnia and Herzegovina,State,air_pollution_pm25_1998-2023,515896.40087407257,515900.2682900799,3178220.9781453223,51096.47612528879
BRA,37,Brazil,State,air_pollution_pm25_1998-2023,47263984.25049688,49906109.46469162,207339669.400336,8514806.17016834
BRN,40,Brunei Darussalam,State,air_pollution_pm25_1998-2023,79379.90218561693,114778.39665357309,452552.1935456375,5924.986455325377
BLR,26,Belarus,State,air_pollution_pm25_1998-2023,1791359.6887779378,1792218.359636827,9086125.035881724,206764.72441017028
BTN,31,Bhutan,State,air_pollution_pm25_1998-2023,208366.5742227184,208366.5742227184,789279.2014167488,38753.11920426533
BWA,35,Botswana,State,air_pollution_pm25_1998-2023,937641.6573633356,937762.278315938,2460012.0798487505,579525.9764854849
CAF,49,Central African Republic,State,air_pollution_pm25_1998-2023,2934119.175532818,2934123.2070428585,5180632.931148907,622463.9100744314
CHE,237,Switzerland,State,air_pollution_pm25_1998-2023,1552954.302899743,1593960.862397689,8906052.082603708,41181.70939615641
CHN,53,China,State,air_pollution_pm25_1998-2023,271066942.6584455,279052029.86104435,1408196199.1885152,9344036.317725817
CIV,66,Côte d'Ivoire,State,air_pollution_pm25_1998-2023,14854215.592157545,15023795.128891736,31498581.02338414,323058.62077063817
CMR,45,Cameroon,State,air_pollution_pm25_1998-2023,13758851.81143407,13770790.335552186,28665192.916732945,466922.0754557269
COD,68,Democratic Republic of the Congo,State,air_pollution_pm25_1998-2023,54533631.17326289,56518034.8240952,107520679.36553958,2340088.019952181
COG,59,Congo,State,air_pollution_pm25_1998-2023,2864137.5744051468,2955038.354785084,6206506.644251352,343919.6394265768
CYP,64,Cyprus,State,air_pollution_pm25_1998-2023,188459.1661494802,253506.5784821285,1306885.8992871277,8993.210057517636
CZE,65,Czechia,State,air_pollution_pm25_1998-2023,2026392.149701571,2026392.149701572,10797115.170909977,78611.6859537302
DEU,93,Germany,State,air_pollution_pm25_1998-2023,14009911.735505324,14044142.055686995,84410388.54353914,356493.7969732728
DJI,70,Djibouti,State,air_pollution_pm25_1998-2023,161140.22994624235,409779.4402882336,1121101.3562784237,21758.875636983776
DNK,69,Denmark,State,air_pollution_pm25_1998-2023,945594.4858859353,1128654.178546772,5805348.825645145,42922.16680705659
DZA,4,Algeria,State,air_pollution_pm25_1998-2023,15838484.729869552,16139589.603391144,45535929.88414952,2311380.979304349
EGY,284,Egypt,State,air_pollution_pm25_1998-2023,43061071.047238685,43437953.591449335,114593975.80522698,982488.77150487
ERI,77,Eritrea,State,air_pollution_pm25_1998-2023,1427511.7079605265,1606584.499666615,3486964.7724528024,121294.54508134222
ESP,229,Spain,State,air_pollution_pm25_1998-2023,6350880.266851521,7175342.692773336,44022725.33000858,497699.689187152
EST,78,Estonia,State,air_pollution_pm25_1998-2023,255523.838330752,264505.7840974989,1355890.3274222582,45131.91921091455
ETH,79,Ethiopia,State,air_pollution_pm25_1998-2023,59658065.42963181,60017167.31716954,130475844.22602253,1133677.2361163718
FIN,84,Finland,State,air_pollution_pm25_1998-2023,893130.2899684703,991544.3563497256,5481231.539931241,333448.6332360159
FRA,85,France,State,air_pollution_pm25_1998-2023,13161294.972648278,13297196.415617146,65606885.74593915,547736.3246348397
GAB,89,Gabon,State,air_pollution_pm25_1998-2023,982183.8123189944,1061384.324698356,2481901.429977897,264132.08061689424
GBR,256,United Kingdom of Great Britain & Northern Ireland,State,air_pollution_pm25_1998-2023,13511357.781673228,13877638.68001792,67093213.510258585,243329.36648943552
GEO,92,Georgia,State,air_pollution_pm25_1998-2023,935033.7126538598,936649.800456076,3789540.2679977566,69570.66540794414
GHA,94,Ghana,State,air_pollution_pm25_1998-2023,13379517.852497054,14402609.609146208,33944101.02159335,239787.5906303
GIN,106,Guinea,State,air_pollution_pm25_1998-2023,6946318.07707415,6962287.36771465,14521541.651037283,245763.13279350716
GMB,90,Gambia,State,air_pollution_pm25_1998-2023,1230834.998383052,1289237.894744835,2704730.2334902566,10665.67684317738
GNB,105,Guinea-Bissau,State,air_pollution_pm25_1998-2023,773421.5750246169,991855.9531200428,2159573.759235356,33852.05012984999
GNQ,76,Equatorial Guinea,State,air_pollution_pm25_1998-2023,775227.2218714895,808399.3588703979,1834492.347763331,27110.82763876295
GRC,97,Greece,State,air_pollution_pm25_1998-2023,1453735.1372929912,1614944.8978723926,9640961.847937165,132222.12492995255
GTM,103,Guatemala,State,air_pollution_pm25_1998-2023,6942518.77278406,6957737.932168799,18248624.36506566,109304.74344048691
HRV,62,Croatia,State,air_pollution_pm25_1998-2023,653866.0682946995,663754.4829499393,3787648.900208083,56336.23073094066
HUN,113,Hungary,State,air_pollution_pm25_1998-2023,1697607.4851873997,1702871.456354855,9688358.543239586,92755.78501238594
IDN,272,Indonesia,State,air_pollution_pm25_1998-2023,74376971.82543792,81336242.80827136,274194497.69238394,1899588.102828659
IND,115,India,State,air_pollution_pm25_1998-2023,424744422.74664587,429150837.0289337,1424016519.077471,2985645.402504308
IRL,119,Ireland,State,air_pollution_pm25_1998-2023,1058522.6369232165,1175298.1726323557,5126029.325195856,69575.83856161711
IRN,117,Iran (Islamic Republic of),State,air_pollution_pm25_1998-2023,23896311.36690626,24294847.979221985,90460500.98066571,1679823.9575297283
IRQ,118,Iraq,State,air_pollution_pm25_1998-2023,19684959.45903681,19703403.363175884,45558484.665153936,437198.5093502568
ISL,114,Iceland,State,air_pollution_pm25_1998-2023,51284.07506661691,83771.06825152112,373316.9137436817,102014.92540545702
ISR,121,Israel,State,air_pollution_pm25_1998-2023,2526603.385536225,2536958.6302999053,9132753.896187162,20787.11042747818
ITA,122,Italy,State,air_pollution_pm25_1998-2023,8154734.447057444,8867068.845870715,58822714.11049495,300430.85584006883
