iso3,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total,area
TCD,50,Chad,State,drought_spei_copernicus_1940-2024,7942505.261117439,10563114.843832964,19892914.389687844,1273900.434577821
TGO,243,Togo,State,drought_spei_copernicus_1940-2024,1943197.8940923351,4352983.95972355,9371853.756197968,56908.31004639232
THA,240,Thailand,State,drought_spei_copernicus_1940-2024,3919470.435862166,13239540.433464188,71226166.65231337,517237.38550452713
TJK,239,Tajikistan,State,drought_spei_copernicus_1940-2024,4315961.13216592,4387147.841555221,10514845.52782798,141244.90114285456
TKM,250,Turkmenistan,State,drought_spei_copernicus_1940-2024,2493258.1953521515,2721095.345029948,7503147.447041797,554693.6160128624
TLS,242,Timor-Leste,State,drought_spei_copernicus_1940-2024,163824.98581153722,566005.349724613,1365431.7307479528,14951.833947859335
TUN,248,Tunisia,State,drought_spei_copernicus_1940-2024,423853.97809238825,3505061.870340183,12121914.034935754,155214.73609152212
TUR,249,Republic of Türkiye,State,drought_spei_copernicus_1940-2024,2810935.3494081898,22274942.83839628,85385396.180427,779430.4450348342
TZA,257,United Republic of Tanzania,State,drought_spei_copernicus_1940-2024,3109914.0440736585,33009939.060595352,66805778.45477117,944404.6160923945
UGA,253,Uganda,State,drought_spei_copernicus_1940-2024,1216650.8076751537,25129259.248308297,49309225.09216296,242577.1576193577
UKR,254,Ukraine,State,drought_spei_copernicus_1940-2024,2772104.2269850145,6430335.640520838,37050642.900068894,598646.4031487926
RUS,204,Russian Federation,State,drought_spei_copernicus_1940-2024,7611068.485293043,29912260.31259292,144499514.6206249,16908645.386554796
UZB,261,Uzbekistan,State,drought_spei_copernicus_1940-2024,12805822.209258476,12807240.684927745,35871507.22492246,448270.14854284143
VAT,110,Holy See,State,drought_spei_copernicus_1940-2024,0.0,20.176179152844,538.4265931403941,0.5530660773456951
VNM,264,Viet Nam,State,drought_spei_copernicus_1940-2024,14548658.534069257,28020535.46063945,100066740.29425308,328668.5895646629
YEM,269,Yemen,State,drought_spei_copernicus_1940-2024,844321.6192521602,18647028.1619601,39243002.16110872,454500.66968822526
ZAF,227,South Africa,State,drought_spei_copernicus_1940-2024,1693863.0238790717,19551218.440278165,62854816.415889084,1221330.6746191955
ZMB,270,Zambia,State,drought_spei_copernicus_1940-2024,1660013.781898053,10196835.653076608,20958246.57305305,753737.8080043888
ZWE,271,Zimbabwe,State,drought_spei_copernicus_1940-2024,1160350.357916969,7945012.017134825,16496124.651762815,392243.763736906
USA,259,United States of America,State,drought_spei_copernicus_1940-2024,20536296.696204025,72972650.627378,341973878.8098228,9484514.886730747
COK,60,Cook Islands,Territory,drought_spei_copernicus_1940-2024,0.0,3888.451219996592,11316.908955068631,253.94156152336623
NIU,183,Niue,Territory,drought_spei_copernicus_1940-2024,0.0,327.6434551140404,1670.7858515600062,267.0024157379165
CXR,54,Christmas Island,Territory,drought_spei_copernicus_1940-2024,0.0,140.6114693391031,811.4187892529109,137.72987439150666
AUS,16,Ashmore and Cartier Islands,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0,2.072178170990595
CCK,56,Cocos (Keeling) Islands,Territory,drought_spei_copernicus_1940-2024,0.0,83.37301648419765,0.0,18.10310679413769
NFK,184,Norfolk Island,Territory,drought_spei_copernicus_1940-2024,0.0,414.3510867077458,2167.918484518113,38.21396866113152
FRO,82,Faroe Islands,Territory,drought_spei_copernicus_1940-2024,2960.259508105368,10615.136152522731,45318.06391283055,1407.941537010647
ESP,1006,Canary Islands,Territory,drought_spei_copernicus_1940-2024,0.0,310648.56691154774,2075160.502232588,7475.4747523686065
ALA,1000,Åland Islands,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,24356.800147148235,1182.4449609622586
ATF,25,Bassas da India,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0,1.05489679633797
SPM,210,Saint Pierre et Miquelon,Territory,drought_spei_copernicus_1940-2024,15.516749703540812,439.2365161210517,2567.490641200802,227.4317988160097
