system:index,pop_child_total,pop_exposed_agricultural_drought_fao_1984-2023,pop_exposed_air_pollution_pm25_1998-2023,pop_exposed_coastal_flood_100yr_jrc_2024,pop_exposed_drought_spei_terraclimate_1958-2025,pop_exposed_drought_spi_terraclimate_1958-2025,pop_exposed_drought_topic,pop_exposed_extreme_heat_ecmwf_2014-2024,pop_exposed_fire_FRP_nasa_2001-2024,pop_exposed_fire_frequency_nasa_2001-2023,pop_exposed_fire_topic,pop_exposed_heatwave_duration_ecmwf_2014-2024,pop_exposed_heatwave_frequency_ecmwf_2014-2024,pop_exposed_heatwave_severity_ecmwf_2014-2024,pop_exposed_heatwave_topic,pop_exposed_river_flood_100yr_jrc_2024,pop_exposed_sand_dust_storm_unccd_2024,pop_exposed_tropical_storm_100yr_giri_2024,pop_exposed_vectorborne_malariapf_2012-2022,pop_exposed_vectorborne_malariapv_2012-2022,pop_mhi_p75,pop_mhi_p80,pop_mhi_p85,pop_mhi_p90,pop_mhi_p95,pop_topic_ge_1,pop_topic_ge_2,pop_topic_ge_3,pop_topic_ge_4,pop_topic_ge_5,pop_topic_ge_6,pop_topic_ge_7,pop_topic_ge_8,pop_total,ucode,.geo
00000000000000000028,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,3034.2521573842155,,0.0,750.7697575653882,36.592760150163784,0.0,36.592760150163784,0.0,0.0,0.0,0.0,2982.5383535393894,2982.5383535393894,36.592760150163784,2982.5383535393894,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,3031.500914269744,719.4670881536074,18.93286883159011,0.0,0.0,0.0,0.0,0.0,11027.882926022054,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,2462.539644449583,,0.0,526.07978048608,6.77963533389802,651.7629368584968,658.5425721923949,0.0,0.0,0.0,0.0,1725.2876434658815,1633.1092321839399,1732.0672787997794,1732.0672787997794,11.165402948856354,0.0,,,,0.0,0.0,0.0,0.0,0.0,1897.4778639436204,677.1967043471541,353.1804661363363,0.0,0.0,0.0,0.0,0.0,9336.447135065515,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,419.8255228082631,,,70.33988294870245,0.0,7.052469916641712,7.052469916641712,0.0,0.0,0.0,0.0,13.036497056484222,13.036497056484222,13.036497056484222,13.036497056484222,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,90.42884992182839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970.3210525133557,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,1287.1758804286374,,0.0,141.2000627842604,266.31076640983423,826.9994889285636,1088.208068349607,0.0,0.0,0.0,0.0,828.7388245636926,828.7388245636926,6.295559711666669,828.7388245636926,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1156.6887774181719,833.2765859153342,68.1815923640541,0.0,0.0,0.0,0.0,0.0,5948.461970171777,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
