iso3,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total,area
NRU,173,Nauru,State,drought_spi_copernicus_1940-2024,0.0,5079.364073097959,8654.73962886754,21.6918449842264
SLB,225,Solomon Islands,State,drought_spi_copernicus_1940-2024,134336.77943273296,347161.46580266824,698704.4064826433,28281.265013409316
AFG,1,Afghanistan,State,drought_spi_copernicus_1940-2024,5062058.016381353,20939927.496658742,42006990.539788574,642025.9078794909
AGO,8,Angola,State,drought_spi_copernicus_1940-2024,17002808.825303204,18709836.92314364,36705526.6430082,1251863.563263454
ALB,3,Albania,State,drought_spi_copernicus_1940-2024,0.0,574038.0505175642,2785087.9997727955,28628.314263722616
SYC,220,Seychelles,State,drought_spi_copernicus_1940-2024,0.0,30312.675349960988,109848.01660768127,501.426576015133
AND,7,Andorra,State,drought_spi_copernicus_1940-2024,12304.924942536496,12304.924942536496,81418.74147483188,463.6885378136676
ARE,255,United Arab Emirates,State,drought_spi_copernicus_1940-2024,0.0,2031447.7012183263,10654430.703493768,71277.59134875023
ARM,13,Armenia,State,drought_spi_copernicus_1940-2024,190212.4351139104,692305.7649314527,2985307.448081244,29681.54773318905
AUT,18,Austria,State,drought_spi_copernicus_1940-2024,1562150.0135317822,1562150.013531782,9130600.381000314,83700.17994265241
AZE,19,Azerbaijan,State,drought_spi_copernicus_1940-2024,1941364.832214718,2747050.551596869,10305347.07231456,164178.97014582678
BDI,43,Burundi,State,drought_spi_copernicus_1940-2024,148558.63535511494,7250336.507113608,13877839.51055262,26963.24985419607
BEL,27,Belgium,State,drought_spi_copernicus_1940-2024,2300200.967760968,2300200.967760968,11730335.285806254,30553.047616360323
BEN,29,Benin,State,drought_spi_copernicus_1940-2024,3756586.380405649,6896624.155167938,14286070.048997458,115732.47742187616
BFA,42,Burkina Faso,State,drought_spi_copernicus_1940-2024,120231.78898979562,11453005.340204278,23295774.938637994,274290.34740471427
BGD,23,Bangladesh,State,drought_spi_copernicus_1940-2024,43968111.45178796,58945359.854905605,172282053.34904954,140022.5530244271
BGR,41,Bulgaria,State,drought_spi_copernicus_1940-2024,532999.5386955794,1180648.3503514074,6741985.340096511,110889.0805535334
AUS,17,Australia,State,drought_spi_copernicus_1940-2024,2120590.57290458,5528342.125710133,25513814.518884607,7702017.710132445
BIH,34,Bosnia and Herzegovina,State,drought_spi_copernicus_1940-2024,434163.3172659133,515900.2682900799,3178220.9781453223,51096.47612528879
BRA,37,Brazil,State,drought_spi_copernicus_1940-2024,23159935.99323539,49906109.46469162,207339669.400336,8514806.17016834
BRN,40,Brunei Darussalam,State,drought_spi_copernicus_1940-2024,0.0,114778.39665357309,452552.1935456375,5924.986455325377
BLR,26,Belarus,State,drought_spi_copernicus_1940-2024,1747246.9944851857,1792218.359636827,9086125.035881724,206764.72441017028
BTN,31,Bhutan,State,drought_spi_copernicus_1940-2024,20158.633741149388,208366.5742227184,789279.2014167488,38753.11920426533
BWA,35,Botswana,State,drought_spi_copernicus_1940-2024,127532.64638774074,937762.278315938,2460012.0798487505,579525.9764854849
CAF,49,Central African Republic,State,drought_spi_copernicus_1940-2024,1433156.3036802022,2934123.2070428585,5180632.931148907,622463.9100744314
CHE,237,Switzerland,State,drought_spi_copernicus_1940-2024,1545591.85550056,1593960.862397689,8906052.082603708,41181.70939615641
CHN,53,China,State,drought_spi_copernicus_1940-2024,60811221.495036,279052029.86104435,1408196199.1885152,9344036.317725817
CIV,66,Côte d'Ivoire,State,drought_spi_copernicus_1940-2024,8957626.751849703,15023795.128891736,31498581.02338414,323058.62077063817
CMR,45,Cameroon,State,drought_spi_copernicus_1940-2024,12669007.922776071,13770790.335552186,28665192.916732945,466922.0754557269
COD,68,Democratic Republic of the Congo,State,drought_spi_copernicus_1940-2024,9211429.673457688,56518034.8240952,107520679.36553958,2340088.019952181
COG,59,Congo,State,drought_spi_copernicus_1940-2024,2318496.487331698,2955038.354785084,6206506.644251352,343919.6394265768
CYP,64,Cyprus,State,drought_spi_copernicus_1940-2024,0.0,253506.5784821285,1306885.8992871277,8993.210057517636
CZE,65,Czechia,State,drought_spi_copernicus_1940-2024,2026392.1497015716,2026392.149701572,10797115.170909977,78611.6859537302
DEU,93,Germany,State,drought_spi_copernicus_1940-2024,11621608.710070336,14044142.055686995,84410388.54353914,356493.7969732728
DJI,70,Djibouti,State,drought_spi_copernicus_1940-2024,0.0,409779.4402882336,1121101.3562784237,21758.875636983776
DNK,69,Denmark,State,drought_spi_copernicus_1940-2024,961279.1179344442,1128654.178546772,5805348.825645145,42922.16680705659
DZA,4,Algeria,State,drought_spi_copernicus_1940-2024,3189452.600617895,16139589.603391144,45535929.88414952,2311380.979304349
EGY,284,Egypt,State,drought_spi_copernicus_1940-2024,2232912.784465003,43437953.591449335,114593975.80522698,982488.77150487
ERI,77,Eritrea,State,drought_spi_copernicus_1940-2024,151621.44811740355,1606584.499666615,3486964.7724528024,121294.54508134222
ESP,229,Spain,State,drought_spi_copernicus_1940-2024,518413.520892613,7175342.692773336,44022725.33000858,497699.689187152
EST,78,Estonia,State,drought_spi_copernicus_1940-2024,216223.47459244975,264505.7840974989,1355890.3274222582,45131.91921091455
ETH,79,Ethiopia,State,drought_spi_copernicus_1940-2024,12512630.367098546,60017167.31716954,130475844.22602253,1133677.2361163718
FIN,84,Finland,State,drought_spi_copernicus_1940-2024,513977.7612473316,991544.3563497256,5481231.539931241,333448.6332360159
FRA,85,France,State,drought_spi_copernicus_1940-2024,11941988.713381542,13297196.415617146,65606885.74593915,547736.3246348397
GAB,89,Gabon,State,drought_spi_copernicus_1940-2024,546028.0462879965,1061384.324698356,2481901.429977897,264132.08061689424
GBR,256,United Kingdom of Great Britain & Northern Ireland,State,drought_spi_copernicus_1940-2024,13868639.31727034,13877638.68001792,67093213.510258585,243329.36648943552
GEO,92,Georgia,State,drought_spi_copernicus_1940-2024,315913.66599268955,936649.800456076,3789540.2679977566,69570.66540794414
GHA,94,Ghana,State,drought_spi_copernicus_1940-2024,6703068.677567169,14402609.609146208,33944101.02159335,239787.5906303
GIN,106,Guinea,State,drought_spi_copernicus_1940-2024,745687.0003000511,6962287.36771465,14521541.651037283,245763.13279350716
GMB,90,Gambia,State,drought_spi_copernicus_1940-2024,0.0,1289237.894744835,2704730.2334902566,10665.67684317738
GNB,105,Guinea-Bissau,State,drought_spi_copernicus_1940-2024,0.0,991855.9531200428,2159573.759235356,33852.05012984999
GNQ,76,Equatorial Guinea,State,drought_spi_copernicus_1940-2024,557390.6434071797,808399.3588703979,1834492.347763331,27110.82763876295
GRC,97,Greece,State,drought_spi_copernicus_1940-2024,46033.32160152488,1614944.8978723926,9640961.847937165,132222.12492995255
GTM,103,Guatemala,State,drought_spi_copernicus_1940-2024,2482590.06824146,6957737.932168799,18248624.36506566,109304.74344048691
HRV,62,Croatia,State,drought_spi_copernicus_1940-2024,510777.9894966575,663754.4829499393,3787648.900208083,56336.23073094066
HUN,113,Hungary,State,drought_spi_copernicus_1940-2024,1667840.4765619356,1702871.456354855,9688358.543239586,92755.78501238594
IDN,272,Indonesia,State,drought_spi_copernicus_1940-2024,75104414.15325132,81336242.80827136,274194497.69238394,1899588.102828659
IND,115,India,State,drought_spi_copernicus_1940-2024,151599341.8675998,429150837.0289337,1424016519.077471,2985645.402504308
IRL,119,Ireland,State,drought_spi_copernicus_1940-2024,1175279.1402033374,1175298.1726323557,5126029.325195856,69575.83856161711
IRN,117,Iran (Islamic Republic of),State,drought_spi_copernicus_1940-2024,14736156.277652811,24294847.979221985,90460500.98066571,1679823.9575297283
IRQ,118,Iraq,State,drought_spi_copernicus_1940-2024,2000163.5593729145,19703403.363175884,45558484.665153936,437198.5093502568
ISL,114,Iceland,State,drought_spi_copernicus_1940-2024,36253.49151100583,83771.06825152112,373316.9137436817,102014.92540545702
ISR,121,Israel,State,drought_spi_copernicus_1940-2024,285.8793051465469,2536958.6302999053,9132753.896187162,20787.11042747818
ITA,122,Italy,State,drought_spi_copernicus_1940-2024,2083528.8109782692,8867068.845870715,58822714.11049495,300430.85584006883
JOR,130,Jordan,State,drought_spi_copernicus_1940-2024,3478352.526402382,4258511.621413204,11523987.80478274,89203.35931995866
JPN,126,Japan,State,drought_spi_copernicus_1940-2024,14510999.54163604,17148792.9227287,120686220.54092196,373522.7108011886
KAZ,132,Kazakhstan,State,drought_spi_copernicus_1940-2024,6124012.1095819725,7013864.848751668,20544135.46735033,2830727.4695786387
KEN,133,Kenya,State,drought_spi_copernicus_1940-2024,1736082.259453041,24625532.7467626,55527033.47588344,585618.8753727536
KGZ,138,Kyrgyzstan,State,drought_spi_copernicus_1940-2024,2645836.965005089,2689821.2431255886,7128243.330953766,198043.110136223
KHM,44,Cambodia,State,drought_spi_copernicus_1940-2024,4466668.060996632,6211092.529221758,17474540.400970142,182117.6884937588
