ucode,ISO3,combination_id,population,combination,hazardCount,hazardLevel
MMR_V1,MMR,143,2038.866370077665,River Flood + Coastal Flood + Tropical Storm + Drought + Sand and Dust Storm,5,Multiple
AUS_V1,AUS,121,2035.6742234221772,River Flood + Drought + Heatwave + Extreme Heat + Fire,5,Multiple
SAU_V1,SAU,179,2034.4218773346797,River Flood + Coastal Flood + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
IND_V1,IND,151,2020.7786130835302,River Flood + Coastal Flood + Tropical Storm + Heatwave + Sand and Dust Storm,5,Multiple
MRT_V1,MRT,241,2004.3806516327895,River Flood + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
ZAF_V1,ZAF,248,2004.1106766666635,Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
xJK_V1,xJK,121,1998.0869766960302,River Flood + Drought + Heatwave + Extreme Heat + Fire,5,Multiple
CHN_V1,CHN,220,1961.0478833474317,Tropical Storm + Drought + Heatwave + Fire + Sand and Dust Storm,5,Multiple
ECU_V1,ECU,217,1952.564607997192,River Flood + Drought + Heatwave + Fire + Sand and Dust Storm,5,Multiple
IND_V1,IND,205,1927.7203482203186,River Flood + Tropical Storm + Drought + Fire + Sand and Dust Storm,5,Multiple
BGD_V1,BGD,151,1890.3812051118955,River Flood + Coastal Flood + Tropical Storm + Heatwave + Sand and Dust Storm,5,Multiple
ETH_V1,ETH,185,1845.1793159826896,River Flood + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
VNM_V1,VNM,143,1836.3219377149649,River Flood + Coastal Flood + Tropical Storm + Drought + Sand and Dust Storm,5,Multiple
GTM_V1,GTM,61,1824.7105052282643,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat,5,Multiple
AUS_V1,AUS,244,1803.0295703660024,Tropical Storm + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
NAM_V1,NAM,121,1779.092654961596,River Flood + Drought + Heatwave + Extreme Heat + Fire,5,Multiple
ESP_V1,ESP,244,1777.0820878017757,Tropical Storm + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
CHN_V1,CHN,158,1771.5050221267124,Coastal Flood + Tropical Storm + Drought + Heatwave + Sand and Dust Storm,5,Multiple
IND_V1,IND,167,1749.4417717669241,River Flood + Coastal Flood + Tropical Storm + Extreme Heat + Sand and Dust Storm,5,Multiple
TJK_V1,TJK,185,1748.7460832366373,River Flood + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
