system:index,ISO3,combination,combination_id,hazardCount,hazardLevel,population,.geo
1048,CMR,River Flood + Heatwave + Extreme Heat + Fire,113,4,Multiple,13867.879481168791,"{""type"":""MultiPoint"",""coordinates"":[]}"
8195,LKA,Tropical Storm + Heatwave + Extreme Heat + Fire,116,4,Multiple,13713.35043007182,"{""type"":""MultiPoint"",""coordinates"":[]}"
2046,IND,River Flood + Heatwave + Extreme Heat + Sand and Dust Storm,177,4,Multiple,13662.575295076358,"{""type"":""MultiPoint"",""coordinates"":[]}"
3323,MOZ,River Flood + Tropical Storm + Heatwave + Fire,85,4,Multiple,13613.763314477168,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,AGO,River Flood + Heatwave + Extreme Heat + Fire,113,4,Multiple,13593.088849565136,"{""type"":""MultiPoint"",""coordinates"":[]}"
4206,PRY,River Flood + Heatwave + Extreme Heat + Fire,113,4,Multiple,13553.601473855297,"{""type"":""MultiPoint"",""coordinates"":[]}"
4069,PER,Drought + Heatwave + Extreme Heat + Sand and Dust Storm,184,4,Multiple,13443.32150174817,"{""type"":""MultiPoint"",""coordinates"":[]}"
1863,IDN,River Flood + Coastal Flood + Heatwave + Fire,83,4,Multiple,13440.835669815198,"{""type"":""MultiPoint"",""coordinates"":[]}"
2961,MEX,Tropical Storm + Drought + Extreme Heat + Sand and Dust Storm,172,4,Multiple,13417.633688530215,"{""type"":""MultiPoint"",""coordinates"":[]}"
2359,JPN,River Flood + Tropical Storm + Drought + Fire,77,4,Multiple,13132.869065212435,"{""type"":""MultiPoint"",""coordinates"":[]}"
5610,YEM,Tropical Storm + Drought + Heatwave + Extreme Heat,60,4,Multiple,13024.509760260582,"{""type"":""MultiPoint"",""coordinates"":[]}"
7109,GBR,Tropical Storm + Drought + Heatwave + Fire,92,4,Multiple,13010.199952132316,"{""type"":""MultiPoint"",""coordinates"":[]}"
6147,TWN,River Flood + Tropical Storm + Drought + Heatwave,29,4,Multiple,12782.250742046162,"{""type"":""MultiPoint"",""coordinates"":[]}"
2620,LBY,Heatwave + Extreme Heat + Fire + Sand and Dust Storm,240,4,Multiple,12424.390968810752,"{""type"":""MultiPoint"",""coordinates"":[]}"
1173,COL,River Flood + Tropical Storm + Drought + Heatwave,29,4,Multiple,12418.780391153225,"{""type"":""MultiPoint"",""coordinates"":[]}"
9846,HND,River Flood + Tropical Storm + Heatwave + Fire,85,4,Multiple,12410.580243096367,"{""type"":""MultiPoint"",""coordinates"":[]}"
5903,ZWE,Tropical Storm + Drought + Heatwave + Fire,92,4,Multiple,12327.111514458466,"{""type"":""MultiPoint"",""coordinates"":[]}"
9238,SYR,River Flood + Heatwave + Extreme Heat + Sand and Dust Storm,177,4,Multiple,12263.65639854502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1245,COL,Tropical Storm + Heatwave + Extreme Heat + Sand and Dust Storm,180,4,Multiple,12207.490244682216,"{""type"":""MultiPoint"",""coordinates"":[]}"
2493,KEN,River Flood + Drought + Heatwave + Fire,89,4,Multiple,12179.159983160847,"{""type"":""MultiPoint"",""coordinates"":[]}"
8365,MWI,River Flood + Drought + Heatwave + Extreme Heat,57,4,Multiple,12109.127522962846,"{""type"":""MultiPoint"",""coordinates"":[]}"
2971,MEX,Drought + Heatwave + Extreme Heat + Sand and Dust Storm,184,4,Multiple,12055.937219736956,"{""type"":""MultiPoint"",""coordinates"":[]}"
573,BRA,River Flood + Heatwave + Extreme Heat + Sand and Dust Storm,177,4,Multiple,11976.227300146347,"{""type"":""MultiPoint"",""coordinates"":[]}"
3095,MMR,Coastal Flood + Tropical Storm + Heatwave + Extreme Heat,54,4,Multiple,11926.897464918067,"{""type"":""MultiPoint"",""coordinates"":[]}"
7780,ISR,Drought + Heatwave + Extreme Heat + Sand and Dust Storm,184,4,Multiple,11916.413109194022,"{""type"":""MultiPoint"",""coordinates"":[]}"
3946,PAK,Tropical Storm + Drought + Extreme Heat + Fire,108,4,Multiple,11807.178887911141,"{""type"":""MultiPoint"",""coordinates"":[]}"
279,AUS,River Flood + Tropical Storm + Heatwave + Extreme Heat,53,4,Multiple,11698.403077044495,"{""type"":""MultiPoint"",""coordinates"":[]}"
5806,ZAF,Drought + Heatwave + Fire + Sand and Dust Storm,216,4,Multiple,11693.983063488895,"{""type"":""MultiPoint"",""coordinates"":[]}"
1182,COL,River Flood + Tropical Storm + Heatwave + Extreme Heat,53,4,Multiple,11689.674971778579,"{""type"":""MultiPoint"",""coordinates"":[]}"
7079,GBR,River Flood + Coastal Flood + Drought + Heatwave,27,4,Multiple,11624.994291485556,"{""type"":""MultiPoint"",""coordinates"":[]}"
5290,UZB,River Flood + Drought + Extreme Heat + Fire,105,4,Multiple,11595.158780587713,"{""type"":""MultiPoint"",""coordinates"":[]}"
7941,KHM,Tropical Storm + Heatwave + Extreme Heat + Sand and Dust Storm,180,4,Multiple,11450.611409213394,"{""type"":""MultiPoint"",""coordinates"":[]}"
5362,VEN,River Flood + Tropical Storm + Heatwave + Extreme Heat,53,4,Multiple,11355.17340795168,"{""type"":""MultiPoint"",""coordinates"":[]}"
5399,VEN,Tropical Storm + Drought + Extreme Heat + Fire,108,4,Multiple,11346.519825667143,"{""type"":""MultiPoint"",""coordinates"":[]}"
9833,HND,River Flood + Tropical Storm + Drought + Heatwave,29,4,Multiple,11341.924598760736,"{""type"":""MultiPoint"",""coordinates"":[]}"
5889,ZWE,River Flood + Drought + Heatwave + Extreme Heat,57,4,Multiple,11283.381097145832,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,AGO,Drought + Heatwave + Fire + Sand and Dust Storm,216,4,Multiple,11209.706900909543,"{""type"":""MultiPoint"",""coordinates"":[]}"
3646,NER,River Flood + Drought + Extreme Heat + Fire,105,4,Multiple,11159.349980930485,"{""type"":""MultiPoint"",""coordinates"":[]}"
4111,PNG,River Flood + Tropical Storm + Drought + Heatwave,29,4,Multiple,11099.053021270358,"{""type"":""MultiPoint"",""coordinates"":[]}"
3060,MMR,River Flood + Coastal Flood + Tropical Storm + Drought,15,4,Multiple,10821.391944807943,"{""type"":""MultiPoint"",""coordinates"":[]}"
2363,JPN,River Flood + Tropical Storm + Heatwave + Fire,85,4,Multiple,10785.829227227918,"{""type"":""MultiPoint"",""coordinates"":[]}"
8511,PHL,River Flood + Coastal Flood + Tropical Storm + Drought,15,4,Multiple,10709.469743543094,"{""type"":""MultiPoint"",""coordinates"":[]}"
2802,MDG,Tropical Storm + Heatwave + Fire + Sand and Dust Storm,212,4,Multiple,10674.353658668697,"{""type"":""MultiPoint"",""coordinates"":[]}"
3663,NER,Drought + Extreme Heat + Fire + Sand and Dust Storm,232,4,Multiple,10631.854152579168,"{""type"":""MultiPoint"",""coordinates"":[]}"
1872,IDN,Tropical Storm + Drought + Heatwave + Fire,92,4,Multiple,10510.470399214459,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,AUS,River Flood + Tropical Storm + Drought + Heatwave,29,4,Multiple,10464.239041977438,"{""type"":""MultiPoint"",""coordinates"":[]}"
9156,SWZ,Tropical Storm + Drought + Heatwave + Extreme Heat,60,4,Multiple,10424.739020156876,"{""type"":""MultiPoint"",""coordinates"":[]}"
1132,COG,Drought + Heatwave + Extreme Heat + Fire,120,4,Multiple,10366.687504997011,"{""type"":""MultiPoint"",""coordinates"":[]}"
