iso3,health,nutrition,wash,education,protection,poverty,survival
GAB,4.767177522349937,3.3960799182354684,3.9744611095449387,2.9134274532920417,2.4747793190416143,6.3,3.2242862678912423
GMB,3.03337605777447,3.9274999175760774,5.617776367895799,,3.9319041614123575,5.57494573214289,4.3270166429612535
GEO,0.8896551724137932,0.8945138637038015,0.7731861668718002,0.4608133432533554,0.8474148802017654,6.98,0.78492160664084
DEU,0.5839080459770116,0.24489795918367352,0.043118442445994276,1.3094634005897894,,0.0,0.22530297358668144
GHA,0.9640625430689935,3.1133823480927107,4.959434505027626,3.5141513805318256,3.76839007986549,6.96,3.6151408469671216
BRN,0.0,1.8163265306122451,8.881784197001252e-16,,,,0.8076705117071898
BGR,0.3632183908045974,0.9183673469387756,0.8399480493316682,1.5984946803042734,,3.8999999999999995,0.4714890375251653
BFA,2.78495755120042,4.3514061521215925,7.701260391140896,7.459072715357725,6.717738545607397,9.13,7.694244101164056
BDI,3.642547341437196,6.348949919224555,7.076427909925911,7.844155667731648,6.557377049180328,5.491089594014121,4.847067097568527
KHM,1.3467715482786191,3.1525501961689364,1.954348649009912,9.158247295178864,2.934426229508196,9.3,2.177906900751278
CAN,0.7448275862068966,,0.2116756150367749,0.13703762857537471,,0.0,0.36877047271019175
CPV,0.5676555307478157,0.8775510204081634,2.386063310339473,,1.3770491803278688,5.7700000000000005,1.0307541883957194
CHL,0.1724137931034484,0.14285714285714285,0.07142890147308734,1.0086950496175981,,4.25,0.5817999269464262
CHN,0.12413793103448256,1.0841218555273482,0.39732126310770016,0.9168592531912411,0.4590163934426229,9.71,0.4830077971570535
GRC,0.1724137931034484,0.20408163265306123,0.05537213350119341,,,5.109999999999999,0.23489752960621885
CRI,0.07913669064748197,1.1249876364115923,0.5409476765671067,2.204605759833571,1.760613703236654,2.7899999999999996,0.9161459463208184
HRV,0.3448275862068968,,0.2421423793802333,0.09374149222122946,,5.43,0.3184610783851595
CYP,0.22988505747126453,,0.050814214834067783,0.7631218558863578,,0.0,0.21347664619653195
CZE,0.7563218390804591,0.2857142857142857,0.15027453866645857,1.1796429282740526,,8.37,0.11464720652112148
CIV,3.1993370820584914,4.376495994197356,6.102971067091551,7.2329004046466965,3.653215636822194,9.05,6.665226353005991
PRK,1.6777777777777778,3.183673469387755,1.320137881900619,0.0,0.43127364438839844,,1.6807674574254183
DNK,0.1816091954022987,,0.022465634920969535,0.22490411055715365,0.11475409836065573,0.0,0.2022950273362215
DJI,3.5698595146871006,4.061224489795919,3.990859232874211,,1.0655737704918031,9.65,4.970430254862281
DOM,0.6452610325532673,1.0025056872506677,2.286241098316406,3.6360238366611406,2.940941572089113,3.1799999999999997,3.0416739923823317
ECU,2.435673530141404,1.825244799050476,1.017890080835101,2.861264775987006,3.6393442622950816,7.08,1.1794198572564685
SLV,0.17967005705780226,1.7142857142857144,1.28727829298738,6.955118279708053,2.371164354770912,9.95,0.9131541263202341
GNQ,4.4796934865900395,3.2857142857142865,5.71507256878851,,,9.86,7.01988881750072
ERI,1.8909323116219667,9.591836734693878,8.654851488568235,,,8.98,3.4445460739481497
EST,2.04367816091954,0.06122448979591838,0.05457863251217976,,,0.0,0.06868659291203882
