iso3,river_flood_gmean,coastal_flood_gmean,storm_gmean,drought_gmean,heatwave_gmean,extreme_heat_gmean,fire_gmean,sand_dust_gmean,air_pollution_gmean,malaria_gmean
KAZ,4.379334053842373,1.0,1.0,5.256040729073662,4.324694438250705,5.401760675278319,3.85963247997903,4.786444365033789,9.060606386736879,1.0
PRY,3.2414363737437526,1.0,1.0,5.38064013877679,2.7144082823500115,7.267376623114392,3.6175067276504933,1.4936314213956683,8.66719423506145,1.0
SWZ,1.6784984018869733,1.0,5.278009294847359,1.835226443523115,1.5581428844431096,3.6290559731888394,6.186083840836326,1.7991447286389433,8.086824372702646,1.4258517746723853
POL,2.995160106865016,2.299488906073302,1.0,4.777421224464232,5.593170016009858,1.0,2.4740363343526224,1.5429571323791196,9.047655119984453,1.0
MDG,4.96429826754212,4.029630943029577,9.35594480153442,4.379641360125448,4.433635427546574,4.22886758925261,4.4648576753933,2.556700029451659,8.850240334223015,9.095417960164628
PCN,1.0,1.0,3.1622776601683795,1.4677992676220697,1.0,,,1.0,1.9268131196098675,1.0
BIH,3.2152428619959754,1.0,1.0,3.682955339825547,3.4528582714377722,1.0,2.3737812378050855,1.0,8.096051207251655,1.0
NOR,2.6912487264471254,2.0010055305832006,1.0,5.261694989998202,5.476015304494799,1.0,1.9327679173403098,1.6243132976236765,7.742314994986479,1.0
OMN,3.8246360598311653,2.0818460882003493,7.205337632622988,2.88400632736591,2.7906856115380645,7.608361293396508,2.474756926380424,9.003618361618413,7.245768983411747,1.041026309934002
MAR,3.1741691727357804,2.2183174336786933,9.274059128958106,4.760692315077828,6.732100291134175,7.020269024658148,3.0778094990996427,6.255957571970726,9.231783242252392,1.0
IRQ,9.348069301965143,2.3011323362672846,1.0,3.9426514723928427,5.976376557528803,9.454506195488545,5.206387231184449,7.421141770658786,9.455333817030983,1.0
SMR,1.0,1.0,1.0,1.812883916358216,1.5773598224105383,1.0,1.0,1.0,5.958130180295349,1.0
TUN,2.8412442150382917,2.949045205565755,1.0,5.298037644606278,6.269460361347543,7.201071472928513,2.8550686422626246,6.716789813863296,7.805485993024187,1.0
DJI,3.0608898411199075,1.8801949415268817,1.0,1.9474567919210781,3.052128961720839,5.491815955317667,1.3744370725034496,8.36474667821861,4.91608583778605,4.729673557380228
NFK,1.0,1.0,4.401943003288389,1.0,1.0,,,1.0,,1.0
MNP,1.0,4.0407026910578825,6.407030092486138,3.449619354658195,2.15403650382462,1.0,1.0,1.0,,1.0
ECU,5.133198124088941,2.1523547184392413,1.0,6.216823365612812,4.808337596030681,1.0,3.650918850989155,2.3751048846344167,8.956135945568462,2.3738554578849844
ARG,5.033979003864743,2.022840564706183,1.0,7.365415663611779,4.395635861882217,4.336080744202502,5.089456803253669,2.6981979347817333,9.12134911531241,1.6331293141094887
TCD,5.734273917682752,1.0,1.0,7.862079597551729,5.908159188760713,9.249489193622223,5.591715950765442,5.419600349372614,9.248912996537745,4.402777927229079
AUS,3.3890652098057408,2.3617324207417223,5.83623995717724,3.776418033034948,3.621042042975114,3.5015538425048187,4.5703120852273065,2.3749567163070378,7.50160088134415,1.0
LIE,3.6477908790958944,1.0,1.0,2.406769849883135,2.8749934608029357,1.0,,1.0,6.129266422576363,1.0
LTU,2.2043665913848707,1.6247706206226544,1.0,2.9648171408076007,6.020375072887023,1.0,1.7689897945934914,1.0,8.084901244022305,1.0
MCO,1.0,1.0,1.0,1.0,1.0606374237076566,1.0,1.0,1.0,,1.0
NIC,2.4334282386589887,2.0424311936323947,8.697898151204207,3.140941572549846,4.080543884498089,4.89127252509499,3.481144140565636,1.0,8.571569367999798,5.85166790482136
CHE,3.0066449556178254,1.0,1.0,6.4630397670278805,6.311274271725431,1.0,2.0261695591465996,1.207250836426907,8.436107389697503,1.0
xAC,1.6505610548790222,1.0,1.0,2.8349672749480623,3.0094461649414828,1.0,1.0,5.306928836381011,5.820634887194619,1.0
CAF,3.284564665076321,1.0,1.0,5.887026718498884,6.815824582793377,8.583137163566056,4.600621396814283,1.0,8.792986914391948,3.811311973092075
COG,4.576380219868829,1.5984497829766293,1.0,5.823789337129514,3.954595477988726,2.4495719769658044,3.589980613579735,2.1540108009442185,8.637584306402855,2.9628363243926894
PYF,1.0,1.0,7.215578558873222,1.293829151596069,2.1702918962826265,1.0,1.0,1.63729762829355,1.6523503214787765,1.0
SJM,1.0,1.0,1.0,1.4116931962012516,2.154434690031884,1.0,1.0,1.0,,1.0
