iso3,P1_geometric_avg,P2_arithmetic_avg,P1_P2_geometric_avg,rank_reverse
COD,5.783317759578247,6.974474380181681,6.35103153416073,12.0
COG,4.2380466774515435,4.134202300028847,4.185802470540985,51.0
COK,0.5645657732309872,,,
COL,6.449214312425373,2.411749112784186,3.943841641982227,60.0
COM,2.0202746398698492,4.6425098420128,3.0625389629898456,86.0
CPV,,2.002012321120519,,
CRI,3.6225233377239263,1.3419246387174473,2.204802331665391,111.0
CUB,3.9022987109565648,2.566276396491804,3.1645500587974715,82.0
CUW,1.5484028069776237,,,
CXR,,,,
CYM,1.5188359147117767,,,
CYP,2.351892017927394,0.2733465226037374,0.8017989179978131,161.0
CZE,2.0590936542389207,1.7816718406533223,1.9153665919111962,123.0
DEU,3.244742711387878,0.4027008074183416,1.1430925203610693,144.0
DJI,3.9406691039951465,4.52680647074586,4.223582176290674,49.0
DMA,1.161607614193616,3.796821504383882,2.100099228541885,115.0
DNK,2.547269826247282,0.1475127780660387,0.612988457332608,168.0
DOM,3.721843145407001,2.372197070165336,2.971354136712558,90.0
DZA,5.832771054374945,1.598030314087151,3.0530222666669693,87.0
ECU,4.056813500967789,2.8734394049755823,3.414236045297808,72.0
EGY,6.298282443580827,3.079083249011686,4.403741133458215,47.0
ERI,5.758872761912019,6.490721923402921,6.113856531769063,17.0
ESH,4.459024984378467,,,
ESP,5.625469896707292,1.060988532018999,2.44306345564195,105.0
EST,1.6723040532325038,0.3448277923524624,0.7593792958857597,163.0
ETH,5.68725611101706,7.086306272621534,6.348357161879181,13.0
FIN,2.2187040687406006,0.121897645646899,0.5200526921387245,173.0
FJI,,2.7945968233863585,,
FLK,0.37922788031623433,,,
FRA,4.4314356096386565,0.1889946111222377,0.9151597949095761,158.0
FRO,,,,
FSM,,3.6811068539046814,,
GAB,3.0447039661886013,3.713672384257126,3.362593201407002,73.0
GBR,4.271919259375,0.2413969904280947,1.0154941915226654,152.0
GEO,2.818453270308627,1.6252426489282732,2.1402500927137735,113.0
GGY,,,,
GHA,5.34808744922172,3.8320441746396896,4.527041788648713,45.0
GIB,,,,
GIN,5.28479853642673,7.301119779395838,6.211678285752245,15.0
GLP,1.4859843948692535,,,
GMB,3.849546240751711,4.3915475950215805,4.111625656151305,53.0
GNB,3.7594380460369026,6.586200764490812,4.975983695099759,33.0
GNQ,2.9455973524311734,6.02046963674862,4.21116129153178,50.0
GRC,3.267667552712587,1.1518146017360864,1.9400379381021209,122.0
GRD,1.0573640964756468,1.023168466621376,1.0401257623285454,149.0
GRL,0.9026195620856714,,,
GTM,4.907859610631047,4.507929405355568,4.703645889845685,40.0
GUF,3.4944209092142877,,,
GUM,1.2323544229685854,,,
GUY,5.695568405814545,1.760117168105997,3.1662071527210367,81.0
HKG,3.3399456365312243,,,
HMD,0.0,,,
HND,4.970480897817571,4.004746742716595,4.461559949856944,46.0
HRV,2.258903673867696,1.2944916086518987,1.710009313112071,130.0
HTI,4.13806151335541,5.116786592531512,4.601475597189787,43.0
HUN,1.8467600090895253,0.2113145167960333,0.6246976862169401,167.0
IDN,6.611943109361223,2.709478093747192,4.232601447437388,48.0
IMN,1.7780929953965443,,,
IND,9.210825877828547,3.443228652729613,5.631605417561502,24.0
IOT,,,,
IRL,2.8378722984615656,0.303552090314112,0.9281390351432615,157.0
IRN,7.254773247572557,1.3164400888357637,3.090384173428097,85.0
IRQ,6.479804530324514,2.5103185749210355,4.033159267277964,57.0
ISL,1.544682443936654,0.7541721928967703,1.079331527521889,147.0
ISR,3.368798149275161,0.2607571475250107,0.9372503381463684,156.0
ITA,3.7177121137715723,0.1595626140831474,0.7701998855295313,162.0
JAM,2.6402189150245077,2.3297645004784675,2.4801387667251347,103.0
JEY,1.247068623802924,,,
