ISO3,P1,P2,Quadrant
LBY,4.645665205518296,2.445064585561429,"High P1, Low P2"
LKA,5.083566488336449,1.5220492372526235,"High P1, Low P2"
LSO,2.0353500926638644,4.659894763435716,"Low P1, High P2"
LTU,2.1095795304112004,0.2152540110825099,"Low P1, Low P2"
LUX,1.6301416051173625,0.0564418587717369,"Low P1, Low P2"
LVA,2.387335981509353,0.2400390012453158,"Low P1, Low P2"
MAR,6.732198411767985,3.202239985609322,"High P1, High P2"
MDA,2.449316373814063,2.489506528168397,"Low P1, High P2"
MDG,8.271573362850734,7.369879071440571,"High P1, High P2"
MEX,6.949022974471221,2.0207224135928823,"High P1, Low P2"
MKD,2.321535114095417,1.7377326938444695,"Low P1, Low P2"
MLI,5.349134066403416,6.684928233301035,"High P1, High P2"
MMR,10.0,4.609387155893337,"High P1, High P2"
MNE,2.150452310260956,1.5084303786793058,"Low P1, Low P2"
MNG,2.797694351525795,1.3144377843462054,"Low P1, Low P2"
MOZ,7.497104007132224,6.898980443781259,"High P1, High P2"
MRT,6.050942058526635,5.293160940440004,"High P1, High P2"
MWI,3.3623050584988,4.702765051709423,"Low P1, High P2"
MYS,4.759953210211829,3.382865199265625,"High P1, High P2"
NAM,5.579195195294109,4.484330369532061,"High P1, High P2"
NER,4.867797643954653,8.478822757710288,"High P1, High P2"
NGA,6.28943964433636,6.683392700200449,"High P1, High P2"
NLD,3.92950120926133,0.2559283880281192,"Low P1, Low P2"
NOR,2.712514340496518,0.0660938233372002,"Low P1, Low P2"
NPL,3.6583798860242656,3.110863588229966,"Low P1, High P2"
NZL,3.3045361493224314,0.7903210638854088,"Low P1, Low P2"
OMN,5.193777733009889,2.9439770472270568,"High P1, High P2"
PAK,9.724422355229107,4.743689812240532,"High P1, High P2"
PAN,3.359701998488441,2.4442834260406507,"Low P1, Low P2"
PER,5.554089539967264,3.167273386801773,"High P1, High P2"
PHL,7.0093948065823,3.500856079059277,"High P1, High P2"
PNG,4.692028108241922,6.643873165962961,"High P1, High P2"
POL,2.9460828149407483,0.2701381321448573,"Low P1, Low P2"
PRK,4.903184313588912,1.3822717051466615,"High P1, Low P2"
PRT,4.181842535393991,0.3455545425236919,"Low P1, Low P2"
PRY,3.568927090604859,2.427747991575856,"Low P1, Low P2"
PSE,2.8210834943143297,1.3895373059906977,"Low P1, Low P2"
QAT,2.792175403690633,1.985368558125519,"Low P1, Low P2"
ROU,3.0778441987780587,1.045943758937926,"Low P1, Low P2"
RUS,4.71831408977782,0.3678886121832582,"High P1, Low P2"
RWA,2.1949874725877923,4.480879714623295,"Low P1, High P2"
SAU,5.618922005169173,1.927280099846778,"High P1, Low P2"
SDN,7.799318854894917,6.631012058628786,"High P1, High P2"
SEN,5.128212379353935,4.664057936234952,"High P1, High P2"
SLE,5.092807853842696,6.244528457187224,"High P1, High P2"
SLV,3.711586315674712,3.3386672607328705,"Low P1, High P2"
SOM,7.796714466690187,7.427075652682267,"High P1, High P2"
SRB,2.194372937001537,1.4466379145147177,"Low P1, Low P2"
SSD,6.141208710273816,7.854199960973,"High P1, High P2"
SUR,2.9853625238179724,2.5369006504095952,"Low P1, High P2"
SVK,2.3661369299743797,0.5772826578327146,"Low P1, Low P2"
SVN,2.29715001326728,0.3294612419159113,"Low P1, Low P2"
SWE,2.821610043469721,0.1231062257438758,"Low P1, Low P2"
SWZ,3.092831445600299,3.982654034591094,"Low P1, High P2"
SYR,5.285959050855993,2.644188787704044,"High P1, High P2"
TCD,7.06880729409454,8.34541730150627,"High P1, High P2"
TGO,4.683720643464018,4.877107979222652,"High P1, High P2"
THA,7.318680942812852,1.541817682335456,"High P1, Low P2"
TJK,4.551882547041937,2.302442083530865,"High P1, Low P2"
TKM,6.200326515831572,1.388496442501508,"High P1, Low P2"
TLS,3.029784546710239,4.150857982800039,"Low P1, High P2"
TUN,5.099596584229814,1.38188787474183,"High P1, Low P2"
TUR,4.545267530909054,1.7412212378786116,"High P1, Low P2"
TZA,4.699672221138023,5.335244238137563,"High P1, High P2"
UGA,3.974480626539089,5.1626172936469965,"Low P1, High P2"
UKR,3.351007572292196,0.8430870566156106,"Low P1, Low P2"
URY,2.6957657821103838,1.5690778577651103,"Low P1, Low P2"
USA,6.521178277295071,0.6470700440836885,"High P1, Low P2"
UZB,5.050614629091927,2.145877710237349,"High P1, Low P2"
VEN,7.836463567689138,2.3107720868784747,"High P1, Low P2"
VNM,9.52819880584726,2.6299362739965515,"High P1, High P2"
YEM,6.6752609192846695,5.214252979652769,"High P1, High P2"
ZAF,5.630815580362792,2.8782999933073663,"High P1, High P2"
ZMB,4.1470419817272735,4.954701304534837,"Low P1, High P2"
ZWE,5.082742375762132,5.011641270019281,"High P1, High P2"
