system:index,ISO3,groups,ucode,.geo
00000000000000000019,xAP,"[{combination_id=1, sum=89.36451871055681}, {combination_id=8, sum=57.164256909280084}, {combination_id=9, sum=2.422478960128501}, {combination_id=16, sum=35605.985862659414}, {combination_id=17, sum=288.5264234101112}, {combination_id=24, sum=771.8238533181138}, {combination_id=25, sum=6.019263006746769}, {combination_id=64, sum=1741.4504777466989}, {combination_id=65, sum=17.702001039870083}, {combination_id=72, sum=2.36309602484107}, {combination_id=73, sum=0.3466560021042824}, {combination_id=80, sum=1091.8025872413969}, {combination_id=81, sum=22.678245146758854}, {combination_id=88, sum=1022.7608139235526}, {combination_id=89, sum=23.27920027822256}, {combination_id=128, sum=9.478815745387006}, {combination_id=144, sum=883.7235419805033}, {combination_id=145, sum=31.597083938921635}]",xAP_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,SSD,"[{combination_id=48, sum=0.44362300634384155}, {combination_id=112, sum=0.468515008687973}, {combination_id=176, sum=4.964700604113293}, {combination_id=184, sum=1.6835614349327837}, {combination_id=240, sum=0.8225510120391846}, {combination_id=248, sum=3.0473990188911557}]",SSD1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,SSD,"[{combination_id=48, sum=57.50385621190071}, {combination_id=56, sum=23.330562986433506}, {combination_id=112, sum=28.785166136920452}, {combination_id=120, sum=8.375075966119766}, {combination_id=176, sum=5048.5235430777075}, {combination_id=184, sum=9.794826030731201}, {combination_id=240, sum=234.27418219298124}, {combination_id=241, sum=8.382130101323128}, {combination_id=248, sum=35.33937714993954}]",SSD1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,SSD,"[{combination_id=248, sum=0.1895270049571991}]",SSD1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,xRI,"[{combination_id=4, sum=1066.3162570514112}, {combination_id=6, sum=119.16942545771599}, {combination_id=12, sum=462.429217267876}, {combination_id=14, sum=38.16653731388118}, {combination_id=20, sum=316.26529925677164}, {combination_id=22, sum=36.97859690070618}, {combination_id=28, sum=343.0105411239827}, {combination_id=30, sum=0.0483720013871789}, {combination_id=76, sum=0.06805299920961261}, {combination_id=92, sum=113.68100100127049}]",xRI_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,xRI,"[{combination_id=12, sum=1.9690189176978652}, {combination_id=20, sum=0.04236199986189604}, {combination_id=28, sum=940.1020208696433}, {combination_id=30, sum=2.0064002966681747}]",xRI_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000154,xSI,[],xSI_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000155,xSI,[],xSI_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156,xSI,[],xSI_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000157,xSI,[],xSI_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000235,SDN,[],SDN1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000236,SDN,"[{combination_id=8, sum=1.0659480020403862}, {combination_id=48, sum=219.4618382090028}, {combination_id=50, sum=26.33903524052239}, {combination_id=56, sum=1.4010310065932572}, {combination_id=128, sum=4.19812089134939}, {combination_id=176, sum=3896.0289760934056}, {combination_id=177, sum=6.0999998822808266E-5}, {combination_id=178, sum=33.53927473368972}, {combination_id=184, sum=247.698650537767}]",SDN1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e2,xJK,"[{combination_id=1, sum=598.0273694248418}, {combination_id=8, sum=1775966.0728838677}, {combination_id=9, sum=65895.07715196167}, {combination_id=16, sum=22783.329097259906}, {combination_id=17, sum=3796.647461794142}, {combination_id=24, sum=1262643.114102334}, {combination_id=25, sum=208080.4027870334}, {combination_id=32, sum=22022.95117198789}, {combination_id=33, sum=1720.392276511029}, {combination_id=40, sum=559550.3101940143}, {combination_id=41, sum=3641.153196970258}, {combination_id=48, sum=11460.009295567144}, {combination_id=49, sum=2215.0754561145513}, {combination_id=56, sum=1001936.5618390924}, {combination_id=57, sum=18831.70591877796}, {combination_id=64, sum=6619.0013237331295}, {combination_id=65, sum=2.5159420277923346}, {combination_id=72, sum=13946.992695930297}, {combination_id=73, sum=2.1762800216674805}, {combination_id=80, sum=985.6884796835884}, {combination_id=88, sum=56599.362796432804}, {combination_id=89, sum=1380.893668139237}, {combination_id=96, sum=4.877411067485809}, {combination_id=104, sum=32858.19625619461}, {combination_id=105, sum=172.30304560437799}, {combination_id=112, sum=1605.6830754338575}, {combination_id=113, sum=880.6452322076567}, {combination_id=120, sum=37544.807712488255}, {combination_id=121, sum=1972.3493219337533}, {combination_id=128, sum=538.4353055357933}, {combination_id=129, sum=29.205952394288033}, {combination_id=136, sum=1.7718060240149498}, {combination_id=144, sum=4.203278036788106}, {combination_id=152, sum=79.77100241929293}, {combination_id=161, sum=33.39828088134527}, {combination_id=168, sum=15.633303932845592}, {combination_id=169, sum=0.470872001722455}, {combination_id=176, sum=438.4168822405296}, {combination_id=177, sum=230.28432878901378}, {combination_id=184, sum=671.9239575762767}, {combination_id=185, sum=121.04152915999293}]",xJK_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e3,xJK,"[{combination_id=1, sum=759.1721987442579}, {combination_id=8, sum=3459.9469531694776}, {combination_id=9, sum=705.0318112044188}, {combination_id=16, sum=56258.902002384326}, {combination_id=17, sum=1685.291586020845}, {combination_id=24, sum=123539.23575404166}, {combination_id=25, sum=3603.324585041093}, {combination_id=64, sum=2804.8731403979473}, {combination_id=65, sum=17.748163988580927}, {combination_id=80, sum=8711.573214589618}, {combination_id=128, sum=15885.728304590906}, {combination_id=129, sum=881.09458991543}, {combination_id=136, sum=1024.1810506443726}, {combination_id=137, sum=332.34954703284893}, {combination_id=144, sum=19616.637795774233}, {combination_id=145, sum=1469.1142337867557}, {combination_id=152, sum=32368.821357874724}, {combination_id=153, sum=2981.094090188606}, {combination_id=192, sum=1692.8991401290987}, {combination_id=193, sum=18.25188598089153}, {combination_id=208, sum=218.87947769463062}]",xJK_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e4,xJK,"[{combination_id=1, sum=3053.0749940130836}, {combination_id=8, sum=100575.78458555967}, {combination_id=9, sum=2440.970164241342}, {combination_id=16, sum=69976.85848879877}, {combination_id=17, sum=1689.2762218810385}, {combination_id=24, sum=378169.54790936847}, {combination_id=25, sum=57920.31488496986}, {combination_id=32, sum=85510.59683910679}, {combination_id=33, sum=2.27537371440261}, {combination_id=40, sum=110086.60150631268}, {combination_id=41, sum=254.41655389312655}, {combination_id=48, sum=3922.4689237383686}, {combination_id=49, sum=1214.455922357224}, {combination_id=56, sum=297276.51872997236}, {combination_id=57, sum=5325.438601932878}, {combination_id=64, sum=17693.864137353434}, {combination_id=65, sum=585.0160443426576}, {combination_id=72, sum=689.6188099291176}, {combination_id=80, sum=1512.40078053042}, {combination_id=96, sum=1323.9330106265843}, {combination_id=113, sum=7.979580853499618}, {combination_id=120, sum=3086.152383252165}, {combination_id=121, sum=27.07626706862859}, {combination_id=128, sum=585.6294097993523}, {combination_id=129, sum=100.93975795805454}, {combination_id=136, sum=8194.341131903464}, {combination_id=137, sum=2161.19437458826}, {combination_id=144, sum=18082.011150817852}, {combination_id=145, sum=1348.9313709524577}, {combination_id=152, sum=53610.628930437095}, {combination_id=153, sum=3114.3614577880467}, {combination_id=192, sum=0.8661440014839172}]",xJK_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e5,xJK,"[{combination_id=1, sum=6.959374994970858}, {combination_id=8, sum=6389.112539545542}, {combination_id=9, sum=74.52170566318091}, {combination_id=16, sum=14185.706953610772}, {combination_id=17, sum=690.6076040454209}, {combination_id=24, sum=65863.8766515615}, {combination_id=25, sum=3962.8004607800813}, {combination_id=128, sum=3114.3963472609757}, {combination_id=129, sum=191.4951347494498}, {combination_id=136, sum=3446.7829785099602}, {combination_id=137, sum=614.5273616090417}, {combination_id=144, sum=5732.7979022396075}, {combination_id=145, sum=441.8444425074059}, {combination_id=152, sum=22443.86527746817}, {combination_id=153, sum=2641.956706740166}]",xJK_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000395,xAC,"[{combination_id=8, sum=278.60725260712206}, {combination_id=24, sum=1397.610707020641}, {combination_id=25, sum=15.698315188288689}, {combination_id=136, sum=64.35374150797725}, {combination_id=152, sum=476.76952351537193}, {combination_id=153, sum=1.404982976615429}]",xAC_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000396,xAC,"[{combination_id=8, sum=156.73309493809938}, {combination_id=9, sum=92.19618166983128}, {combination_id=24, sum=439.3760262619923}, {combination_id=128, sum=16.931900948286057}, {combination_id=136, sum=577.271994702518}, {combination_id=137, sum=111.06336281448603}, {combination_id=144, sum=131.00470519065857}, {combination_id=152, sum=435.8130121231079}]",xAC_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000397,xAC,"[{combination_id=136, sum=3.174699068069458}]",xAC_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000398,xAC,[],xAC_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000428,xxx,"[{combination_id=16, sum=12.479902835568303}, {combination_id=24, sum=34.16252567619085}, {combination_id=128, sum=45.31786038260907}, {combination_id=129, sum=3.1334659713320434}, {combination_id=136, sum=6.165781956166029}, {combination_id=144, sum=15.656943965703249}, {combination_id=152, sum=281.01510994511057}, {combination_id=153, sum=6.351840014185976}]",xxx_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000429,xxx,"[{combination_id=16, sum=10.875263075933617}, {combination_id=80, sum=0.2270839959383011}, {combination_id=144, sum=17.394936975091696}]",xxx_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004a2,xSR,[],xSR_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000539,xSK,[],xSK_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000571,xPI,"[{combination_id=4, sum=69.24429118841813}]",xPI_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005fc,xJL,"[{combination_id=16, sum=22.69544694475101}, {combination_id=24, sum=175.04951409473261}, {combination_id=80, sum=0.12280069146232278}]",xJL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005fd,xJL,"[{combination_id=16, sum=38701.46394930135}, {combination_id=24, sum=7536.180670950078}, {combination_id=80, sum=298.55627841500456}, {combination_id=88, sum=21.688907033269405}, {combination_id=144, sum=57.06373020379859}]",xJL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005fe,xAB,"[{combination_id=56, sum=1735.293779104948}, {combination_id=57, sum=9444.17311239522}, {combination_id=120, sum=11346.14619097919}, {combination_id=121, sum=37015.6111690537}]",xAB_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005ff,xAB,"[{combination_id=48, sum=0.0872593599207261}, {combination_id=56, sum=4699.156001213166}, {combination_id=57, sum=212.68528775939828}, {combination_id=112, sum=7.051796033978462}, {combination_id=113, sum=6.59617106616497}, {combination_id=120, sum=41.08393081277609}, {combination_id=121, sum=4.7275740802288055}]",xAB_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000165,MAC,"[{combination_id=12, sum=39729.17456581299}, {combination_id=13, sum=10996.266258801437}, {combination_id=14, sum=2702.1804689189375}, {combination_id=15, sum=122.63076631602118}, {combination_id=28, sum=44065.89992352829}, {combination_id=29, sum=10997.205214125384}, {combination_id=30, sum=578.39767267143}, {combination_id=31, sum=239.69048769123415}]",MAC_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000563,TWN,"[{combination_id=4, sum=0.3069889945909381}, {combination_id=12, sum=8617.96963879331}, {combination_id=140, sum=2.5519458275215294}]",TWN_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000564,TWN,"[{combination_id=4, sum=79033.10481814675}, {combination_id=5, sum=5563.723233944791}, {combination_id=6, sum=538.3878362724263}, {combination_id=7, sum=4540.694172433501}, {combination_id=12, sum=215542.69104194493}, {combination_id=13, sum=102931.45507585458}, {combination_id=14, sum=2726.4116265124994}, {combination_id=15, sum=20643.888110161144}, {combination_id=20, sum=48073.91543422872}, {combination_id=21, sum=703.5455273985863}, {combination_id=22, sum=1.3189570005051792}, {combination_id=23, sum=2.148181978613138}, {combination_id=28, sum=1694806.3063122756}, {combination_id=29, sum=120173.82839374691}, {combination_id=30, sum=5803.58849030248}, {combination_id=31, sum=31433.334238940286}, {combination_id=68, sum=519.8419011012159}, {combination_id=69, sum=5.983021824081958}, {combination_id=76, sum=1323.9842900866295}, {combination_id=77, sum=7674.657844217907}, {combination_id=78, sum=19.16324627427932}, {combination_id=79, sum=49.36525581777096}, {combination_id=84, sum=1217.4581142654642}, {combination_id=85, sum=131.34682886116207}, {combination_id=92, sum=55790.368925131275}, {combination_id=93, sum=663.2704381481744}, {combination_id=94, sum=143.59392956644297}, {combination_id=95, sum=533.9395704558119}, {combination_id=140, sum=30.081579929217696}, {combination_id=141, sum=46.49863793421537}, {combination_id=142, sum=248.8282023523551}, {combination_id=143, sum=895.8918123296571}, {combination_id=149, sum=0.21716099977493286}, {combination_id=156, sum=582.5129919506144}, {combination_id=157, sum=115.89024316053838}, {combination_id=158, sum=625.6615272142815}, {combination_id=159, sum=450.08886233059525}, {combination_id=196, sum=11.824308408709134}, {combination_id=197, sum=2.3402060028676894}, {combination_id=222, sum=0.11363399773836136}, {combination_id=223, sum=0.301016996614635}]",TWN_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
