iso3,agricultural_drought_absolute,agricultural_drought_relative,air_pollution_absolute,air_pollution_relative,coastal_flood_absolute,coastal_flood_relative,drought_spei_absolute,drought_spei_relative,drought_spi_absolute,drought_spi_relative,extreme_heat_absolute,extreme_heat_relative,fire_FRP_absolute,fire_FRP_relative,fire_frequency_absolute,fire_frequency_relative,heatwave_duration_absolute,heatwave_duration_relative,heatwave_frequency_absolute,heatwave_frequency_relative,heatwave_severity_absolute,heatwave_severity_relative,pluvial_flood_absolute,pluvial_flood_relative,river_flood_absolute,river_flood_relative,sand_dust_absolute,sand_dust_relative,tropical_storm_absolute,tropical_storm_relative,vectorborne_malariapf_absolute,vectorborne_malariapf_relative,vectorborne_malariapv_absolute,vectorborne_malariapv_relative
NOR,5.7676327266345435,2.2040568805738823,6.93219024986738,8.647114306007296,4.004023133424557,1.0,6.841330589380583,7.639739732969017,6.502735245618391,4.9115481629932285,1.0,1.0,4.4683146046355855,1.0,3.123022324425765,1.0,6.284158454061492,3.6417986523102632,6.7327468384503515,5.463719583318984,6.608717474280688,4.846486295540975,4.951573362951343,1.1752961905160526,4.967523884683777,1.4580341988761951,2.6383936888371022,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMN,6.081330529507428,2.4214240989556393,7.0364431182790685,7.4613220455922775,4.3340831349550974,1.0,5.28501418895357,1.354511123848504,4.829165312739049,1.1303344864834541,7.101658458047352,8.151217340684477,5.765439977091545,1.4930814142616438,4.357267764212941,1.0,5.250393957981598,1.316086655665073,6.4912711867708595,3.1990164599787625,3.2918715031877155,1.0,5.218129375084419,1.1869038157341367,5.836255586078044,2.506374296741646,8.106514360167226,10.0,7.0289285253931055,7.386174181816636,1.1744832364626552,1.0,1.0,1.0
MAR,8.392843272016602,7.515386184217592,8.594770612685494,9.916008893377864,4.920932236562824,1.0,7.560173734837338,2.7492058695713655,6.617411127932424,1.3419400417688336,8.222324315641334,5.993947123299596,7.865549661478187,2.073456309169683,5.502283670928637,1.0,8.279045915716921,6.115293547085574,8.446719541280318,6.274409250208482,8.103326383652455,4.281358695746808,5.765039244840185,1.0,6.6378513352324795,1.5178631500329125,8.674264944904532,4.51185263430164,8.60081727274111,10.0,1.0,1.0,1.0,1.0
IRQ,8.200497797019523,3.792018385307126,8.948040705457363,9.991387001286563,5.295210029014933,1.0,7.7621094126993135,2.3799626169145744,6.231028140812004,1.0493251107615076,8.947924546483387,9.989767675864176,8.853839881613034,3.470381907470817,7.962786528391852,3.0031142679681193,8.992962431990916,9.984521695229741,9.096609475737358,9.225594880240488,6.046774138038664,1.0,7.91297509012632,1.8526433350002554,8.73863996743431,10.0,9.325454718691653,5.905700777231732,1.0,1.0,1.0,1.0,1.0,1.0
SMR,3.549931524534628,10.0,3.549931524534628,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.082251303893781,4.997083451468959,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TUN,7.408857108628467,5.793715865475356,7.648503485753768,7.965690504132981,5.791822396651983,1.5015770562125097,6.9872464761554305,3.4662483572432663,6.88364923574373,3.090276610765078,7.539440535688474,6.877888367547098,6.774914716098732,1.8796858485769763,5.217676056487732,1.0,7.483541268607237,6.085897211391496,7.2109027776159635,3.7374751433951894,7.633157893905555,6.4815219377872655,5.725389730338124,1.1208088006588064,5.7172026342264,1.4119962516565374,7.960212924471017,5.667595305764486,1.0,1.0,1.0,1.0,1.0,1.0
DJI,1.0,1.0,5.753481945638286,4.200569358317402,3.5351330181432745,1.0,6.310164632104367,8.645025818205909,1.0,1.0,5.911197799823627,5.102188001217211,3.5686129179451367,1.0,1.0,1.0,5.901701532491137,4.868561424161937,5.973695346175777,4.709733287502075,1.0,1.0,4.1051597954185794,1.1138181008599584,4.727457585272818,1.981836209098505,6.996898699076928,10.0,1.0,1.0,6.254150193847156,8.007644216340804,5.026673890111552,1.9877917341473683
NFK,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.9377102204199597,10.0,1.0,1.0,1.0,1.0
MNP,1.0,1.0,,,2.545800040606255,6.4134173843575875,4.105003460602292,10.0,4.105003460602292,10.0,1.0,1.0,1.0,1.0,1.0,1.0,3.193020811031504,3.1085304345462643,3.237474502216856,3.1085304345462643,1.0,1.0,,,1.0,1.0,1.0,1.0,4.105003460602292,10.0,1.0,1.0,1.0,1.0
ECU,7.25412800079881,3.4185084642468078,8.086840295216344,9.918876612779409,4.632630833987665,1.0,7.768401230713565,6.435229237255325,7.719154104395923,6.0328692587317345,1.0,1.0,7.679125433641507,3.0825162835277684,5.987133186654704,1.2536394770478139,7.727274618779475,5.801491772780232,8.093618922818882,7.810556997161191,4.3609281042680195,1.0,6.868948673770687,1.7684995878376233,7.06926167101159,3.727365629879089,5.641123213014266,1.0,1.0,1.0,5.396384036192993,1.0539937684499658,5.34883476667462,1.0437993262146525
