iso3,health,nutrition,wash,education,protection,poverty,survival
CHN,0.09677452022887145,1.0868308747661992,0.39732126310770016,0.9168592531912411,0.4590163934426229,9.71,0.4521364650029568
CIV,3.21109507654396,4.375621558108387,6.102971067091551,7.2329004046466965,3.653215636822194,9.05,6.401813406376061
CMR,3.6487602747818455,4.815345600536361,5.609558331257617,5.454099221328693,4.885245901639344,6.333981801900838,6.438935680322579
COD,4.953630141610545,6.650809173077333,9.245842184455201,5.91813660021035,3.8482555695670446,9.25,8.954646992351295
COG,3.239871217108039,3.11210885020438,6.1272318205382055,4.575235902059384,3.917192097519966,,3.8335739127431125
COL,0.9186946174489847,2.154953100817928,1.304422713723482,2.691296908177172,2.161622530474989,6.609999999999999,1.041253918846744
COM,2.274724880584671,4.395868482031864,4.629782612473765,,2.735182849936948,10.0,3.8195002270495526
CPV,0.6048099481830302,0.8735661754196833,2.386063310339473,,1.3770491803278688,5.7700000000000005,1.0005853124530601
CRI,0.04038179148311283,1.1305362427137193,0.5409476765671067,2.204605759833571,1.760613703236654,2.7899999999999996,0.9263872971879663
CUB,0.007342143906020837,1.3098859284030786,0.6752839097860684,0.43244874218184437,4.819672131147541,9.98,0.7393019200180722
CYP,0.17608486505645793,,0.050814214834067783,0.7631218558863578,,0.0,0.37671167724180377
CZE,0.5745835232163652,0.28039463099307027,0.15027453866645857,1.1796429282740526,,8.37,0.13513542276999
DEU,0.5700896247911285,0.245235557624537,0.043118442445994276,1.3094634005897894,,0.0,0.24829781905860057
DJI,3.5698595146871006,4.064017281440011,3.990859232874211,,1.0655737704918031,9.65,4.8205290249820285
DMA,0.44482758620689644,,1.3286852224766004,,,9.93,3.4837732088520315
DNK,0.25001012709504256,,0.022465634920969535,0.22490411055715365,0.11475409836065573,0.0,0.27294269746241073
DOM,0.5805867807652696,1.0067022242089285,2.286241098316406,3.6360238366611406,2.940941572089113,3.1799999999999997,2.9748839791164934
DZA,0.30267355309129584,2.0711275598544914,1.440242374327969,2.034312067322557,0.5037831021437578,2.7699999999999996,2.064073541869987
ECU,2.5096865664084254,1.8286619151131165,1.017890080835101,2.861264775987006,3.6393442622950816,7.08,1.177228234190347
EGY,0.1495645349131598,2.920183372243634,0.5155525467423517,5.591502540989926,2.6284153005464477,7.609999999999999,2.1383644476462864
ERI,1.8909323116219667,9.581929624684037,8.654851488568235,,,8.98,3.3458961921403674
ESP,0.17608486505645793,,0.010420759411567282,0.4526400315134147,,4.47,0.19579700411355397
EST,1.5364296926426644,0.05655669757888335,0.05457863251217976,,,0.0,0.076573939028585
ETH,5.020464327307712,7.144457844731923,8.903576648100204,7.77443048958074,6.606557377049179,9.775,4.379657221580979
FIN,0.3700794976960857,0.13783908496571887,0.03079233718607366,0.18748705010665057,0.01639344262295082,0.0,0.11069210695081352
FJI,0.5519781592316919,1.1694049467696663,0.9636035962396209,,2.3406893652795286,8.92,2.8219048727976435
FRA,0.1743126234239707,,0.07561316701045051,0.3828149092824832,,0.0,0.3122323558942842
FSM,1.9421455938697318,,1.3190114535550137,,,9.32,2.1432703681939795
GAB,3.751594595506946,3.404697433633846,3.9744611095449387,2.9134274532920417,2.4747793190416143,6.3,3.176746778780495
GBR,0.7448275862068966,0.5070297729156713,0.050051168879249985,0.04146350057501469,0.0,0.0,0.3464069044198308
GEO,0.6745835232163657,0.8977621001771594,0.7731861668718002,0.4608133432533554,0.8474148802017654,6.98,0.7429385287774656
GHA,0.9984121558897505,3.1179518683903,4.959434505027626,3.5141513805318256,3.76839007986549,6.96,3.5059692327728356
GIN,5.652367630428545,6.906111446521793,6.597585660249176,8.241736566220334,6.78583438419504,7.7197626383605185,9.204440129795454
GMB,3.1316868364642927,3.9257212800208174,5.6177763678957975,,3.9319041614123575,5.57494573214289,4.16725119219333
GNB,5.9280275794555,6.954342403828244,7.407597065825719,6.646681103885497,5.888608659100461,,6.691947774849443
GNQ,4.4796934865900395,3.2915385463499485,5.71507256878851,,,9.86,6.756043582014607
GRC,0.14032356068661667,0.19366074965188027,0.05537213350119341,,,5.109999999999999,0.25971656484074246
GRD,0.6266283524904215,,0.7514983315327655,,,,1.6913787158409408
GTM,1.5046014988100673,5.108322123499976,2.231985039228933,6.20507620998706,4.836065573770491,9.72,1.9494553921924513
GUY,0.26786588350465035,2.1016695594080748,1.1235237148911381,1.302220460064794,3.339848675914249,,2.4255747148530773
HND,2.5135281111279903,2.428517515180701,1.2013948182712426,6.02178059998072,6.350987810004203,8.129999999999999,1.3870183444513093
HRV,0.26229176160818213,,0.2421423793802333,0.09374149222122946,,5.43,0.4442824100498487
HTI,5.042005924350601,4.551632812530503,6.703610006133911,4.152342363335199,2.442622950819672,7.710270828576597,5.215021261974104
HUN,0.047723935389133665,,0.11302548404289325,0.6479674891421664,,0.0,0.24785567540597328
IDN,1.7295432680135703,3.0972341789567217,1.7103104458023923,2.453278284625121,2.6721311475409837,5.64,1.6638493312915548
IND,0.6837696423447595,6.411468241161845,1.197467548109642,2.9400124821642186,3.819672131147541,6.485873998692279,2.564336525487005
IRL,0.5269760494202238,0.2320253831358953,0.7986703781157685,0.0,,0.0,0.26364073121278464
IRN,0.03671071953010241,0.7769706027678073,0.6991866647327356,4.056452700966274,,1.3099999999999987,1.019319845017662
IRQ,0.541670464327308,1.9210580260625352,0.2285649213142739,4.783133632301359,2.7356031946195873,5.2777123741570175,2.0844874116651666
ISL,0.2605195199756949,,0.06815969658416421,,,2.5299999999999994,0.1580095550272226
ISR,0.018355359765051205,,0.004457872028517329,1.199917441920221,0.13114754098360656,0.0,0.21066467045266815
ITA,0.3760848650564581,,0.012869321572900105,0.2628163789447978,,0.0,0.14604250484158096
JAM,0.044052863436123246,1.2467875958983266,1.9849340034845013,,2.5382513661202184,6.49,1.6745611739316346
JOR,0.13987796850473355,2.1703475439403372,0.2554695540963685,2.8137908129615354,0.9012189995796553,8.64,1.1828573718143716
JPN,0.007342143906020837,0.8466762220942721,0.06666084765892677,0.06263446807861262,,1.459999999999999,0.1189214626785711
KAZ,0.0036710719530095304,1.1807460071940052,0.22307701738591015,0.26398230145700957,1.3333333333333333,4.56,0.8281462003612082
KEN,1.7111955035698014,2.9379947494537992,5.45652074962068,8.0301409269634,2.0491803278688523,9.68,3.806776259603918
KGZ,0.9760203048255611,1.6498820747205352,0.41207502079591407,0.08589362958351214,3.1387137452711222,4.825361004331182,1.5720555041179445
KHM,1.3081645484159539,3.1471272635057863,1.954348649009912,9.158247295178864,2.934426229508196,9.3,1.736929534993185
KIR,0.7253261768528358,4.081453804568373,4.436558062187272,2.0455575384453804,3.4953762084909616,8.50796796304795,5.249554935919491
KNA,0.11512987999392355,,0.3893862572282796,,,9.47,1.4780937548746285
KOR,0.05044559218188294,0.1648719613536039,0.01509591182228931,0.024219011005602087,,6.470000000000001,0.15560414648746249
KWT,0.0,0.7010172038532059,8.881784197001252e-16,5.061319050035978,,9.3,0.693160967948415
LAO,3.1777634310598004,4.65121962328115,1.8967738785425627,6.177020423697893,5.333333333333334,6.588416337769739,2.844885658249577
LBN,3.616091954022989,3.2681170961822783,0.6198827310368955,,0.9836065573770492,6.42,1.6549533562149876
LBR,3.463683393251979,5.980774897953955,7.281355370989132,,5.476881042454813,9.42,8.6214034857091
LBY,2.334099616858238,1.6603372167571167,0.769709223149419,,0.605296343001261,4.47,0.861373833718899
LCA,0.0,0.3625141391743947,1.1573953668098802,,,9.49,1.6179420902347372
LKA,0.061458808040913304,1.2187052967902994,1.1072472995967502,0.5915266766455259,0.8032786885245902,6.39,0.46799412452947353
LSO,2.917290326936385,5.900311335166254,5.821896407841469,6.1611360412371186,2.7522068095838588,3.2799999999999994,5.944646991152621
LTU,0.6879310344827587,0.10804983523012654,0.20734847745716234,0.02902362221165683,0.03278688524590164,0.0,0.21440309368552066
LUX,0.007342143906020837,,0.13379992450264666,,,0.0,0.09338175866195067
LVA,0.09816952757101571,0.13253051407383812,0.5118140133649982,0.5724106838828631,,0.0,0.1257279238257529
MAR,0.5781305382551016,2.5857436286940505,1.2871295964569098,5.974687676680715,2.245901639344262,8.42,1.4656587576635012
MDA,1.0819256671223851,0.6493198903984286,1.31777679699122,,,7.71,1.539401339061822
MDG,6.80265203301433,5.634191315541518,8.1169377707115,8.02029336443161,7.757250945775535,8.800387671605549,6.192228423139417
MDV,0.0036710719530095304,1.7064316647560558,0.16809979201464506,0.5139515344827587,0.36065573770491804,5.030142871237274,0.4232532383144624
MEX,2.0709529596435257,1.8403437002559326,0.32651510704416076,2.279987371140185,2.132828919714165,4.780219907793919,1.1943151196310324
MHL,0.8393462960149878,5.234494260007794,1.9507647828316772,,,10.0,2.580958652704975
MKD,0.6379310344827589,1.0699217467431872,0.1426107942458336,1.3177690856472535,0.8583438419503993,7.74,0.15633117748448785
MLI,3.611730551757895,5.55265445915936,5.520899066337846,8.97005751944674,6.757461118116855,7.03949326413508,7.263661903588548
MLT,0.05044559218188294,0.5043142347286708,8.881784197001252e-16,0.7537036694978315,,3.329999999999999,0.41273102023593533
MMR,4.455435296301922,5.088066312438924,2.5811937852700386,6.0188252169254755,2.4525010508617067,7.936198113411761,3.612704673196563
MNE,1.076811484125778,1.2562010556679968,0.14361517289205197,0.6613124462788244,1.3343841950399327,5.67,0.11381132904544955
