iso3,agricultural_drought_absolute,agricultural_drought_relative,air_pollution_absolute,air_pollution_relative,coastal_flood_absolute,coastal_flood_relative,drought_spei_absolute,drought_spei_relative,drought_spi_absolute,drought_spi_relative,extreme_heat_absolute,extreme_heat_relative,fire_FRP_absolute,fire_FRP_relative,fire_frequency_absolute,fire_frequency_relative,heatwave_duration_absolute,heatwave_duration_relative,heatwave_frequency_absolute,heatwave_frequency_relative,heatwave_severity_absolute,heatwave_severity_relative,river_flood_absolute,river_flood_relative,sand_dust_absolute,sand_dust_relative,tropical_storm_absolute,tropical_storm_relative,vectorborne_malariapf_absolute,vectorborne_malariapf_relative,vectorborne_malariapv_absolute,vectorborne_malariapv_relative
TKM,7.503066786300087,8.11820841314743,7.650632316140715,9.95097892959673,4.232012419651851,1.0,7.429061782850347,7.34404474054204,7.218730054343583,5.568429623679143,7.6449447486166875,9.872380178905102,6.538719507775899,1.8219148380931418,4.545680387438283,1.0,4.106931891220095,1.0,7.116746700356975,4.046771984110816,7.639132876761291,8.085019443702123,7.1404441273689425,7.161921265548057,7.589894665265438,4.628623722764694,1.0,1.0,2.548985397087982,1.0,2.552844804392425,1.0
CYP,5.8194947148004275,6.707555231032359,5.919588031211443,7.670572452483588,2.0911033151104856,1.0,1.0,1.0,1.0,1.0,5.611758837598323,5.12433185750591,5.029482922975311,2.5295053362515336,2.4122081847669614,1.0,5.863341126305603,6.853685932670371,5.532530385274162,4.036190274866353,1.0,1.0,1.0,1.0,4.9480869623291674,2.0879833164832373,1.0,1.0,1.0,1.0,1.0,1.0
MLT,4.6551979369195635,3.91102337324703,4.780274069823022,4.546440184832194,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.674905204859382,4.346690780869689,1.0,1.0,5.211525963269641,7.706346435215144,5.0346258211248465,5.50037803067633,1.0,1.0,1.0,1.0,2.6490484222557957,1.0091896333144585,1.0,1.0,1.0,1.0,1.0,1.0
TJK,7.870042860738113,8.644343403360882,7.970736539490872,9.937341680857449,1.0,1.0,7.907242110814879,9.098904079670753,7.251537058114094,3.902301634701261,7.597740743177749,6.0016930639812225,6.151778706028845,1.1166572296011805,3.480594735605516,1.0,7.744731505885882,6.9261668218521155,7.886986114667817,6.976200605067072,6.222783893496427,1.4308422769138025,5.957626277040426,1.4813098987087778,6.97137105727872,1.8511141476117539,1.0,1.0,4.214097798933395,1.0,4.214229685750971,1.0
JEY,2.045252411499935,1.1730638542495717,3.995729242269599,6.179900227545668,2.055445187760345,2.3172883904935317,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.4740057598721177,3.0574553193138323,1.0,1.0,1.0,1.0,1.0,1.0,4.350824256926051,10.0,1.0,1.0,1.0,1.0
TZA,9.11714129970871,7.773276162295817,9.26063201682741,9.464671252017352,4.1360576455557,1.0,6.062609538243924,1.0,4.798751852819515,1.0,6.517489582667977,1.0359985734178538,8.922914801361554,2.4565445931172327,8.31382542264841,2.8804361717698055,9.260996092089352,8.874364395305445,9.463959491381877,9.308930079813106,1.0,1.0,6.678271010145277,1.0709969339130372,6.531093395318928,1.0,3.5419065610644562,1.0,9.286863478235814,9.816207044892769,1.0,1.0
MYT,5.427663483896121,6.394511557671178,4.431248259613746,2.0974101271619894,1.3360857685487058,1.0,5.756672917850887,9.998791114013557,5.735568439147878,9.709034882897052,1.0,1.0,1.0,1.0,1.0,1.0,5.064028846380307,3.9387437851291063,5.146408859555091,3.9387437851291063,1.0,1.0,1.0,1.0,1.0,1.0,5.756759550675792,10.0,1.0,1.0,1.0,1.0
SSD,7.480915157510211,4.315061735421671,8.119644539837427,9.988561200529544,1.0,1.0,8.02554346617606,8.767352156805611,7.923281216195498,7.6257240732454585,8.105437962395515,9.792700418241797,8.477320290845572,6.890783470301534,8.440596524106656,10.0,8.161152914271172,10.0,8.188062527255743,8.525999773560542,8.038397415910495,7.298838579172583,7.444365734753946,5.6951873167161455,5.497052297242837,1.0,1.0,1.0,8.120402241566424,9.999127813767894,4.308432931753654,1.0
TWN,5.746769313327672,1.3200188133822859,7.7325913048748856,9.57166497648927,6.031754965034106,2.216557787451962,7.733152077230702,9.57912508121831,7.565683710621176,7.6137273233657625,1.0,1.0,6.004665402375445,1.1812438036765545,5.278104251458967,1.0410435267611877,7.588244648933946,7.4623978052886315,7.654507201332889,6.834864764592426,1.0,1.0,6.902917444096065,4.578829087242227,3.7253244790621562,1.0,7.764031835677471,10.0,1.0,1.0,1.0,1.0
PHL,8.592205612542557,3.6411497825505554,9.20794962948304,7.939588521171455,8.02298167414304,2.5192673154953464,9.258256029543126,8.5040189791349,9.15148647714249,7.355887439481721,7.967913640503811,1.9569319529948634,8.082158544152115,1.2416711657203694,7.107771190467548,1.059338333839511,9.009742638918903,5.745335815526934,9.06579720896195,5.03423942792968,1.0,1.0,8.164344767189384,2.89472356960641,5.120512676615917,1.0,9.371785244552377,9.949952247874204,6.249098827157129,1.0,6.188889872899718,1.0
