iso3,time_period,obs_value,data_source
GIN,2022,47.7,World Bank
GMB,2022,65.4,World Bank
GNB,2022,37.4,World Bank
GNQ,2022,67,World Bank
GRC,2022,100,World Bank
GRD,2022,94.2,World Bank
GRL,2022,100,World Bank
GTM,2022,99.1,World Bank
GUM,2022,100,World Bank
GUY,2022,93,World Bank
HIC,2022,99.97972653,World Bank
HKG,2022,100,World Bank
HND,2022,94.4,World Bank
HPC,2022,48.61424578,World Bank
HRV,2022,100,World Bank
HTI,2022,49.3,World Bank
HUN,2022,100,World Bank
IBD,2022,98.96876165,World Bank
IBT,2022,89.94929539,World Bank
IDA,2022,66.11020018,World Bank
IDB,2022,77.32018921,World Bank
IDN,2022,100,World Bank
IDX,2022,60.50636539,World Bank
IMN,2022,100,World Bank
IND,2022,99.2,World Bank
INX,2022,,World Bank
IRL,2022,100,World Bank
IRN,2022,100,World Bank
IRQ,2022,100,World Bank
ISL,2022,100,World Bank
ISR,2022,100,World Bank
ITA,2022,100,World Bank
JAM,2022,100,World Bank
JOR,2022,100,World Bank
JPN,2022,100,World Bank
KAZ,2022,100,World Bank
KEN,2022,76,World Bank
KGZ,2022,99.7,World Bank
KHM,2022,92.3,World Bank
KIR,2022,94.4,World Bank
KNA,2022,100,World Bank
KOR,2022,100,World Bank
KWT,2022,100,World Bank
LAC,2022,98.47582755,World Bank
LAO,2022,100,World Bank
LBN,2022,100,World Bank
LBR,2022,31.8,World Bank
LBY,2022,70,World Bank
LCA,2022,100,World Bank
LCN,2022,98.57887131,World Bank
LDC,2022,56.70485654,World Bank
LIC,2022,45.11341018,World Bank
LIE,2022,100,World Bank
LKA,2022,100,World Bank
LMC,2022,90.5967778,World Bank
LMY,2022,89.42525885,World Bank
LSO,2022,50,World Bank
LTE,2022,99.47717614,World Bank
LTU,2022,100,World Bank
LUX,2022,100,World Bank
LVA,2022,100,World Bank
MAC,2022,100,World Bank
MAF,2022,100,World Bank
MAR,2022,100,World Bank
MCO,2022,100,World Bank
MDA,2022,100,World Bank
MDG,2022,36.1,World Bank
MDV,2022,100,World Bank
MEA,2022,97.14709838,World Bank
MEX,2022,100,World Bank
MHL,2022,100,World Bank
MIC,2022,94.85519315,World Bank
MKD,2022,100,World Bank
MLI,2022,53,World Bank
MLT,2022,100,World Bank
MMR,2022,73.7,World Bank
MNA,2022,96.71251825,World Bank
MNE,2022,100,World Bank
MNG,2022,100,World Bank
MNP,2022,100,World Bank
MOZ,2022,33.2,World Bank
MRT,2022,49,World Bank
MUS,2022,100,World Bank
MWI,2022,14,World Bank
MYS,2022,100,World Bank
NAC,2022,100,World Bank
NAM,2022,56.2,World Bank
NCL,2022,100,World Bank
NER,2022,19.5,World Bank
NGA,2022,60.5,World Bank
NIC,2022,86.5,World Bank
NLD,2022,100,World Bank
NOR,2022,100,World Bank
NPL,2022,91.3,World Bank
NRU,2022,100,World Bank
NZL,2022,100,World Bank
OED,2022,100,World Bank
OMN,2022,100,World Bank
OSS,2022,94.60565774,World Bank
PAK,2022,95,World Bank
PAN,2022,95,World Bank
PER,2022,96.2,World Bank
PHL,2022,94.8,World Bank
PLW,2022,100,World Bank
PNG,2022,19,World Bank
POL,2022,100,World Bank
PRE,2022,51.10354268,World Bank
PRI,2022,100,World Bank
PRK,2022,54.7,World Bank
PRT,2022,100,World Bank
PRY,2022,100,World Bank
PSE,2022,100,World Bank
PSS,2022,85.60381006,World Bank
PST,2022,100,World Bank
PYF,2022,100,World Bank
QAT,2022,100,World Bank
ROU,2022,100,World Bank
RUS,2022,100,World Bank
RWA,2022,50.6,World Bank
SAS,2022,98.28415626,World Bank
SAU,2022,100,World Bank
SDN,2022,63.2,World Bank
SEN,2022,67.9,World Bank
SGP,2022,100,World Bank
SLB,2022,76,World Bank
SLE,2022,29.4,World Bank
SLV,2022,100,World Bank
