iso3,time_period,value,data_source
RUS,2024,100,UNSD SDG Database
COL,2024,33.9,UNSD SDG Database
RWA,2024,5.2,UNSD SDG Database
COD,2024,7.5,UNSD SDG Database
MWI,2024,33.1,UNSD SDG Database
ZMB,2024,23.2,UNSD SDG Database
CMR,2024,9.3,UNSD SDG Database
TCD,2024,0.6,UNSD SDG Database
CAF,2024,4.9,UNSD SDG Database
NGA,2024,10.5,UNSD SDG Database
BEN,2024,12,UNSD SDG Database
COM,2024,0,UNSD SDG Database
IND,2024,51.9,UNSD SDG Database
