iso3,time_period,obs_value,data_source
OMN,2024,99.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
PAK,2024,87.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
PAN,2024,72.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
PER,2024,80.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
PHL,2024,71.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
PLW,2024,97.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
PNG,2024,42.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
POL,2024,94.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
PRK,2024,99.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
PRT,2024,99.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
PRY,2024,80.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
PSE,2024,88.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
QAT,2024,96.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
ROU,2024,79.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
RUS,2024,97.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
RWA,2024,98.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
SAU,2024,97.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
SDN,2024,39.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
SEN,2024,91.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
SGP,2024,97.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
SLB,2024,87.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
SLE,2024,91.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
SLV,2024,95.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
SMR,2024,88.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
SOM,2024,70.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
SRB,2024,95.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
SSD,2024,73.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
STP,2024,87.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
SUR,2024,69.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
SVK,2024,96.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
SVN,2024,90.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
SWE,2024,96.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
SWZ,2024,84.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
SYC,2024,94.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
SYR,2024,73.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
TCD,2024,68.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
TGO,2024,90.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
THA,2024,92.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
TJK,2024,97.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
TKM,2024,98.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
TLS,2024,83.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
TON,2024,99.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
TTO,2024,92.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
TUN,2024,97.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
TUR,2024,99.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
TUV,2024,94.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
TZA,2024,83.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
UGA,2024,91.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
UKR,2024,88.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
URY,2024,94.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
USA,2024,94.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
UZB,2024,90.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
VCT,2024,99.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
VEN,2024,62.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
VNM,2024,97.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
VUT,2024,71.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
WSM,2024,85.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
YEM,2024,42.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
ZAF,2024,74.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
ZMB,2024,91.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
ZWE,2024,91.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
